Date	Plot	Section	Buds	Male_flowers	Female_flowers	Seed_hairs	Total_Male	Total_Female	TotalCount	Field_remarks	General_remarks
1997-07-08	Sal2	D	4	31	34	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal3	C	-9999	-9999	-9999	-9999	72	71	TOTALCOUNT	No remarks	No remarks
1997-07-08	Sal3	C	0	47	10	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal3	D	-9999	-9999	-9999	-9999	296	34	TOTALCOUNT	No remarks	No remarks
1997-07-08	Sal3	D	0	50	15	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal4	C	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal4	D	0	50	50	0	141	162	TOTALCOUNT	No remarks	No remarks
1997-07-08	Sal4	D	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal3	A	-9999	-9999	-9999	-9999	8	85	TOTALCOUNT	No remarks	No remarks
1997-07-08	Sal3	A	0	2	51	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal3	B	-9999	-9999	-9999	-9999	36	47	TOTALCOUNT	No remarks	No remarks
1997-07-08	Sal3	B	0	16	30	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal4	A	0	50	50	0	276	210	TOTALCOUNT	No remarks	No remarks
1997-07-08	Sal4	A	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal4	B	0	50	50	0	266	180	TOTALCOUNT	No remarks	No remarks
1997-07-08	Sal4	B	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal4	C	0	50	50	0	148	90	TOTALCOUNT	No remarks	No remarks
1997-07-15	Sal1	A	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal2	B	5	53	27	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal2	C	1	31	21	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal2	D	0	43	21	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal3	A	0	-9999	40	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal4	B	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal4	C	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal4	D	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal1	B	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal1	C	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal1	D	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal2	A	0	26	20	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal3	B	0	-9999	27	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal3	C	0	-9999	19	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal3	D	0	-9999	19	0	-9999	-9999	NA	No remarks	No remarks
1997-07-15	Sal4	A	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal1	C	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal1	D	0	-9999	50	1	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal2	A	-9999	-9999	-9999	-9999	278	531	TOTALCOUNT	No remarks	No remarks
1997-07-22	Sal2	A	0	24	47	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal2	D	-9999	-9999	-9999	-9999	208	484	TOTALCOUNT	No remarks	No remarks
1997-07-22	Sal2	D	0	10	53	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal3	A	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal3	B	0	-9999	39	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal4	C	0	-9999	34	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal4	D	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal1	A	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal1	B	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal2	B	-9999	-9999	-9999	-9999	291	536	TOTALCOUNT	No remarks	No remarks
1997-07-22	Sal2	B	0	28	25	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal2	C	-9999	-9999	-9999	-9999	305	358	TOTALCOUNT	No remarks	No remarks
1997-07-22	Sal2	C	0	17	45	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal3	C	0	-9999	40	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal3	D	0	-9999	32	0	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal4	A	0	-9999	50	1	-9999	-9999	NA	No remarks	No remarks
1997-07-22	Sal4	B	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal1	A	0	-9999	45	11	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal1	B	0	-9999	44	6	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal2	D	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal3	A	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal3	B	0	-9999	49	0	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal3	C	0	-9999	43	0	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal4	D	0	-9999	50	1	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal1	C	0	-9999	45	5	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal1	D	0	-9999	49	11	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal2	A	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal2	B	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal2	C	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal3	D	0	-9999	29	0	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal4	A	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal4	B	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-29	Sal4	C	0	-9999	51	0	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal1	A	0	-9999	44	9	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal1	B	0	-9999	49	12	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal1	C	0	-9999	50	7	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal2	D	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal3	A	0	-9999	45	0	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal3	B	0	-9999	35	0	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal3	C	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal1	D	0	-9999	46	10	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal2	A	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal2	B	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal2	C	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal3	D	0	-9999	22	0	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal4	A	0	-9999	50	2	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal4	B	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal4	C	0	-9999	36	0	-9999	-9999	NA	No remarks	No remarks
1997-08-05	Sal4	D	0	-9999	49	4	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal1	A	0	-9999	6	47	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal1	B	0	-9999	4	58	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal1	C	0	-9999	5	47	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal1	D	0	-9999	7	50	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal3	A	0	-9999	50	4	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal3	B	0	-9999	40	2	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal3	C	0	-9999	24	11	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal3	D	0	-9999	22	1	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal2	A	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal2	B	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal2	C	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal2	D	0	-9999	50	0	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal4	A	0	-9999	41	28	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal4	B	0	-9999	51	8	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal4	C	0	-9999	27	8	-9999	-9999	NA	No remarks	No remarks
1997-08-12	Sal4	D	0	-9999	41	21	-9999	-9999	NA	No remarks	No remarks
1997-08-26	Sal4	A	-9999	-9999	-9999	-9999	-9999	-9999	NA	No records	No remarks
1997-08-26	Sal4	B	-9999	-9999	-9999	-9999	-9999	-9999	NA	No records	No remarks
1997-08-26	Sal4	C	-9999	-9999	-9999	-9999	-9999	-9999	NA	No records	No remarks
1997-08-26	Sal4	D	-9999	-9999	-9999	-9999	-9999	-9999	NA	No records	No remarks
1997-08-27	Sal2	A	0	-9999	0	50	-9999	-9999	NA	No remarks	No remarks
1997-08-27	Sal3	B	0	-9999	0	50	-9999	-9999	NA	No remarks	No remarks
1997-08-27	Sal3	C	0	-9999	0	50	-9999	-9999	NA	No remarks	No remarks
1997-08-27	Sal3	D	0	-9999	0	50	-9999	-9999	NA	No remarks	No remarks
1997-08-27	Sal2	B	0	-9999	0	50	-9999	-9999	NA	No remarks	No remarks
1997-08-27	Sal2	C	0	-9999	0	50	-9999	-9999	NA	No remarks	No remarks
1997-08-27	Sal2	D	0	-9999	0	50	-9999	-9999	NA	No remarks	No remarks
1997-08-27	Sal3	A	0	-9999	0	50	-9999	-9999	NA	No remarks	No remarks
1998-06-03	Sal1	A	12	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-03	Sal1	B	21	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-03	Sal1	C	9	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-03	Sal1	D	4	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-10	Sal1	B	34	10	6	0	-9999	-9999	NA	No remarks	No remarks
1998-06-10	Sal1	C	12	22	18	0	-9999	-9999	NA	No remarks	No remarks
1998-06-10	Sal1	D	38	2	10	0	-9999	-9999	NA	No remarks	No remarks
1998-06-10	Sal1	A	44	4	2	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal1	A	0	21	29	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal3	B	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal3	C	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal3	D	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal4	A	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal4	B	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal1	B	0	8	42	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal1	C	0	3	32	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal1	D	1	11	28	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal3	A	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal4	C	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-17	Sal4	D	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-24	Sal1	C	11	5	32	0	-9999	-9999	NA	No remarks	No remarks
1998-06-24	Sal1	D	9	8	32	0	-9999	-9999	NA	No remarks	No remarks
1998-06-24	Sal3	A	0	0	0	0	-9999	-9999	NA	2 active lemming burrows	No remarks
1998-06-24	Sal3	B	12	0	0	0	-9999	-9999	NA	2 active lemming burrows	No remarks
1998-06-24	Sal4	C	4	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-24	Sal4	D	10	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-24	Sal1	A	3	8	42	0	-9999	-9999	NA	No remarks	No remarks
1998-06-24	Sal1	B	6	12	38	0	-9999	-9999	NA	No remarks	No remarks
1998-06-24	Sal3	C	10	0	0	0	-9999	-9999	NA	2 active lemming burrows	No remarks
1998-06-24	Sal3	D	0	0	0	0	-9999	-9999	NA	2 active lemming burrows	No remarks
1998-06-24	Sal4	A	32	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-24	Sal4	B	17	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-06-25	Sal1	A	-9999	-9999	-9999	-9999	9	42	TOTALCOUNT	No remarks	No remarks
1998-06-25	Sal1	B	-9999	-9999	-9999	-9999	16	40	TOTALCOUNT	No remarks	No remarks
1998-06-25	Sal1	C	-9999	-9999	-9999	-9999	8	32	TOTALCOUNT	No remarks	No remarks
1998-06-25	Sal1	D	-9999	-9999	-9999	-9999	30	35	TOTALCOUNT	No remarks	No remarks
1998-07-01	Sal2	D	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-07-01	Sal3	A	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1998-07-01	Sal3	B	1	11	6	0	-9999	-9999	NA	No remarks	No remarks
1998-07-01	Sal3	C	3	7	3	0	-9999	-9999	NA	No remarks	No remarks
