Date	Photo_no	Plot	Section	Snow	Cloud_cover	Buds	Flowers	Senescent	TotalFlowering	TotalCount	Remarks
2008-06-17	SIL1_080617	SIL1	C	0	0	50	0	0	50	-9999	No remarks
2008-06-17	SIL1_080617	SIL1	D	0	0	2	1	0	3	-9999	No remarks
2008-06-17	SIL2_080617	SIL2	A	0	0	0	17	0	17	-9999	No remarks
2008-06-17	SIL2_080617	SIL2	B	0	0	2	47	1	50	-9999	No remarks
2008-06-17	SIL2_080617	SIL2	C	0	0	1	49	0	50	-9999	No remarks
2008-06-17	SIL2_080617	SIL2	D	0	0	53	47	0	100	-9999	No remarks
2008-06-17	SIL3_080617	SIL3	A	0	0	0	50	0	50	-9999	No remarks
2008-06-17	SIL3_080617	SIL3	B	0	0	32	28	0	60	-9999	No remarks
2008-06-17	SIL3_080617	SIL3	C	0	0	8	41	1	50	-9999	1 beetle
2008-06-17	SIL3_080617	SIL3	D	0	0	7	19	2	28	-9999	No remarks
2008-06-17	SIL4_080617	SIL4	A	0	0	0	1	0	1	-9999	No remarks
2008-06-17	SIL4_080617	SIL4	B	0	0	8	42	0	50	-9999	No remarks
2008-06-17	SIL4_080617	SIL4	C	0	0	0	50	0	50	-9999	No remarks
2008-06-17	SIL4_080617	SIL4	D	0	0	50	41	0	91	-9999	No remarks
2008-06-23	NA	SIL4	A	0	1	0	0	0	0	0	Total count
2008-06-23	NA	SIL4	B	0	1	7	34	3	44	44	Total count
2008-06-23	NA	SIL4	C	0	1	0	224	40	264	264	Total count
2008-06-23	NA	SIL4	D	0	1	0	26	24	50	50	Total count
2008-06-24	SIL1_080624	SIL1	A	0	0	0	1	7	8	-9999	No remarks
2008-06-24	SIL1_080624	SIL1	B	0	0	1	2	0	3	-9999	No remarks
2008-06-24	SIL1_080624	SIL1	C	0	0	10	43	0	53	-9999	No remarks
2008-06-24	SIL1_080624	SIL1	D	0	0	0	10	7	17	-9999	No remarks
2008-06-24	SIL4_080624	SIL4	A	0	0	0	0	1	1	-9999	No remarks
2008-06-24	SIL4_080624	SIL4	B	0	0	4	27	12	43	-9999	No remarks
2008-06-24	SIL4_080624	SIL4	C	0	0	0	42	8	50	-9999	No remarks
2008-06-24	SIL4_080624	SIL4	D	0	0	1	7	52	60	-9999	No remarks
2008-06-24	SIL3_080624	SIL3	A	0	0	0	38	12	50	-9999	No remarks
2008-06-24	SIL3_080624	SIL3	B	0	0	0	31	19	50	-9999	No remarks
2008-06-24	SIL3_080624	SIL3	C	0	0	0	50	0	50	-9999	No remarks
2008-06-24	SIL3_080624	SIL3	D	0	0	0	44	6	50	-9999	No remarks
2008-06-24	SIL2_080624	SIL2	A	0	0	0	7	0	7	7	Total count
2008-06-24	SIL2_080624	SIL2	B	0	0	0	18	81	99	99	Total count
2008-06-24	SIL2_080624	SIL2	C	0	0	0	0	31	31	31	Total count
2008-06-24	SIL2_080624	SIL2	D	0	0	1	62	56	119	119	Total count
2008-07-01	SIL1_080701	SIL1	A	0	0	0	0	12	12	-9999	No remarks
2008-07-01	SIL1_080701	SIL1	B	0	0	1	6	0	7	-9999	No remarks
2008-07-01	SIL1_080701	SIL1	C	0	0	13	50	3	66	-9999	No remarks
2008-07-01	SIL1_080701	SIL1	D	0	0	0	0	17	17	-9999	No remarks
2008-07-01	SIL4_080701	SIL4	A	0	1	0	0	10	10	-9999	No remarks
2008-07-01	SIL4_080701	SIL4	B	0	1	0	0	62	62	-9999	No remarks
2008-07-01	SIL4_080701	SIL4	C	0	1	0	44	6	50	-9999	No remarks
2008-07-01	SIL4_080701	SIL4	D	0	1	0	6	38	44	-9999	No remarks
2008-07-01	SIL2_080701	SIL2	A	0	1	0	0	16	16	-9999	No remarks
2008-07-01	SIL2_080701	SIL2	B	0	1	0	27	23	50	-9999	No remarks
2008-07-01	SIL2_080701	SIL2	C	0	1	0	0	36	36	-9999	No remarks
2008-07-01	SIL2_080701	SIL2	D	0	1	0	4	92	96	-9999	No remarks
2008-07-01	SIL3_080701	SIL3	A	0	1	0	0	50	50	-9999	No remarks
2008-07-01	SIL3_080701	SIL3	B	0	1	0	23	20	43	-9999	No remarks
2008-07-01	SIL3_080701	SIL3	C	0	1	0	0	50	50	-9999	No remarks
2008-07-01	SIL3_080701	SIL3	D	0	1	0	0	50	50	-9999	No remarks
2008-07-08	SIL1_080708	SIL1	A	0	8	0	0	32	32	-9999	No remarks
2008-07-08	SIL1_080708	SIL1	B	0	8	0	0	9	9	-9999	No remarks
2008-07-08	SIL1_080708	SIL1	C	0	8	0	0	50	50	-9999	No remarks
2008-07-08	SIL1_080708	SIL1	D	0	8	0	0	35	35	-9999	No remarks
2008-07-08	SIL4_080708	SIL4	A	0	8	0	0	0	0	-9999	No remarks
2008-07-08	SIL4_080708	SIL4	B	0	8	0	0	43	43	-9999	No remarks
2008-07-08	SIL4_080708	SIL4	C	0	8	0	0	50	50	-9999	No remarks
2008-07-08	SIL4_080708	SIL4	D	0	8	0	0	50	50	-9999	No remarks
2008-07-08	SIL2_080708	SIL2	A	0	8	0	0	38	38	-9999	No remarks
2008-07-08	SIL2_080708	SIL2	B	0	8	0	0	50	50	-9999	No remarks
2008-07-08	SIL2_080708	SIL2	C	0	8	0	0	50	50	-9999	No remarks
2008-07-08	SIL2_080708	SIL2	D	0	8	0	0	50	50	-9999	No remarks
2008-07-08	SIL3_080708	SIL3	A	0	8	0	16	34	50	-9999	No remarks
2008-07-08	SIL3_080708	SIL3	B	0	8	0	0	34	34	-9999	No remarks
2008-07-08	SIL3_080708	SIL3	C	0	8	0	0	50	50	-9999	No remarks
2008-07-08	SIL3_080708	SIL3	D	0	8	0	0	50	50	-9999	No remarks
2008-07-15	SIL4_080715	SIL4	A	0	0	0	0	50	50	-9999	No remarks
2008-07-15	SIL4_080715	SIL4	B	0	0	0	0	45	45	-9999	No remarks
2008-07-15	SIL4_080715	SIL4	C	0	0	1	0	49	50	-9999	No remarks
2008-07-15	SIL4_080715	SIL4	D	0	0	0	0	43	43	-9999	No remarks
2008-07-15	SIL2_080715	SIL2	A	0	0	0	0	50	50	-9999	No remarks
2008-07-15	SIL2_080715	SIL2	B	0	0	0	0	50	50	-9999	No remarks
2008-07-15	SIL2_080715	SIL2	C	0	0	0	0	50	50	-9999	No remarks
2008-07-15	SIL2_080715	SIL2	D	0	0	0	0	50	50	-9999	No remarks
2008-07-15	SIL3_080715	SIL3	A	0	0	0	0	50	50	-9999	No remarks
2008-07-15	SIL3_080715	SIL3	B	0	0	0	0	37	37	-9999	No remarks
2008-07-15	SIL3_080715	SIL3	C	0	0	0	0	50	50	-9999	No remarks
2008-07-15	SIL3_080715	SIL3	D	0	0	0	0	50	50	-9999	No remarks
2008-07-15	SIL1_080715	SIL1	A	0	0	0	0	4	4	-9999	No remarks
2008-07-15	SIL1_080715	SIL1	B	0	0	0	0	5	5	-9999	No remarks
2008-07-15	SIL1_080715	SIL1	C	0	0	0	0	50	50	-9999	No remarks
2008-07-15	SIL1_080715	SIL1	D	0	0	0	0	24	24	-9999	No remarks
2008-07-22	SIL1_080722	SIL1	A	0	8	0	0	9	9	-9999	No remarks
2008-07-22	SIL1_080722	SIL1	B	0	8	0	0	8	8	-9999	No remarks
2008-07-22	SIL1_080722	SIL1	C	0	8	0	0	50	50	-9999	No remarks
2008-07-22	SIL1_080722	SIL1	D	0	8	0	0	8	8	-9999	No remarks
2008-07-22	SIL4_080722	SIL4	A	0	7	0	0	0	0	-9999	No remarks
2008-07-22	SIL4_080722	SIL4	B	0	7	0	0	11	11	-9999	No remarks
2008-07-22	SIL4_080722	SIL4	C	0	7	0	0	50	50	-9999	No remarks
2008-07-22	SIL4_080722	SIL4	D	0	7	0	0	44	44	-9999	No remarks
2008-07-22	SIL2_080722	SIL2	A	0	5	0	0	19	19	-9999	No remarks
2008-07-22	SIL2_080722	SIL2	B	0	5	0	0	43	43	-9999	No remarks
2008-07-22	SIL2_080722	SIL2	C	0	5	0	0	50	50	-9999	No remarks
2008-07-22	SIL2_080722	SIL2	D	0	5	0	0	50	50	-9999	No remarks
2008-07-22	SIL3_080722	SIL3	A	0	6	0	0	50	50	-9999	No remarks
2008-07-22	SIL3_080722	SIL3	B	0	6	0	0	33	33	-9999	No remarks
2008-07-22	SIL3_080722	SIL3	C	0	6	0	0	50	50	-9999	No remarks
2008-07-22	SIL3_080722	SIL3	D	0	6	0	0	50	50	-9999	No remarks
2008-07-29	SIL1_080729	SIL1	A	0	2	0	0	11	11	-9999	No remarks
2008-07-29	SIL1_080729	SIL1	B	0	2	0	0	7	7	-9999	No remarks
2008-07-29	SIL1_080729	SIL1	C	0	2	0	0	50	50	-9999	No remarks
2008-07-29	SIL1_080729	SIL1	D	0	2	0	0	14	14	-9999	No remarks
2008-07-29	SIL4_080729	SIL4	A	0	5	0	0	1	1	-9999	No remarks
2008-07-29	SIL4_080729	SIL4	B	0	5	0	0	12	12	-9999	No remarks
2008-07-29	SIL4_080729	SIL4	C	0	5	0	0	50	50	-9999	No remarks
2008-07-29	SIL4_080729	SIL4	D	0	5	0	0	36	36	-9999	No remarks
2008-07-29	SIL2_080729	SIL2	A	0	5	0	0	7	7	-9999	No remarks
2008-07-29	SIL2_080729	SIL2	B	0	5	0	0	33	33	-9999	No remarks
2008-07-29	SIL2_080729	SIL2	C	0	5	0	0	36	36	-9999	No remarks
2008-07-29	SIL2_080729	SIL2	D	0	5	0	0	50	50	-9999	No remarks
2008-07-29	SIL3_080729	SIL3	A	0	5	0	0	46	46	-9999	No remarks
2008-07-29	SIL3_080729	SIL3	B	0	5	0	0	39	39	-9999	No remarks
2008-07-29	SIL3_080729	SIL3	C	0	5	0	0	50	50	-9999	No remarks
2008-07-29	SIL3_080729	SIL3	D	0	5	0	0	50	50	-9999	No remarks
2008-08-06	SIL1_080806	SIL1	A	0	7	0	0	9	9	-9999	No remarks
2008-08-06	SIL1_080806	SIL1	B	0	7	0	0	6	6	-9999	No remarks
2008-08-06	SIL1_080806	SIL1	C	0	7	0	0	50	50	-9999	No remarks
2008-08-06	SIL1_080806	SIL1	D	0	7	0	0	18	18	-9999	No remarks
2008-08-06	SIL4_080806	SIL4	A	0	5	0	0	1	1	-9999	No remarks
2008-08-06	SIL4_080806	SIL4	B	0	5	0	0	38	38	-9999	No remarks
2008-08-06	SIL4_080806	SIL4	C	0	5	0	0	50	50	-9999	No remarks
2008-08-06	SIL4_080806	SIL4	D	0	5	0	0	50	50	-9999	No remarks
2008-08-06	SIL2_080806	SIL2	A	0	6	0	0	38	38	-9999	No remarks
2008-08-06	SIL2_080806	SIL2	B	0	6	0	0	50	50	-9999	No remarks
2008-08-06	SIL2_080806	SIL2	C	0	6	0	0	50	50	-9999	No remarks
2008-08-06	SIL2_080806	SIL2	D	0	6	0	0	50	50	-9999	No remarks
2008-08-06	SIL3_080806	SIL3	A	0	6	0	0	50	50	-9999	No remarks
2008-08-06	SIL3_080806	SIL3	B	0	6	0	0	50	50	-9999	No remarks
2008-08-06	SIL3_080806	SIL3	C	0	6	0	0	50	50	-9999	No remarks
2008-08-06	SIL3_080806	SIL3	D	0	6	0	0	50	50	-9999	No remarks
2008-08-12	SIL1_080812	SIL1	A	0	0	0	0	15	15	-9999	No remarks
2008-08-12	SIL1_080812	SIL1	B	0	0	0	0	9	9	-9999	No remarks
2008-08-12	SIL1_080812	SIL1	C	0	0	0	0	50	50	-9999	No remarks
2008-08-12	SIL1_080812	SIL1	D	0	0	1	0	14	15	-9999	No remarks
2008-08-12	SIL4_080812	SIL4	A	0	0	0	0	0	0	-9999	No remarks
2008-08-12	SIL4_080812	SIL4	B	0	0	0	0	25	25	-9999	No remarks
2008-08-12	SIL4_080812	SIL4	C	0	0	0	0	50	50	-9999	No remarks
2008-08-12	SIL4_080812	SIL4	D	0	0	0	0	43	43	-9999	No remarks
2008-08-12	SIL2_080812	SIL2	A	0	0	0	0	31	31	-9999	No remarks
2008-08-12	SIL2_080812	SIL2	B	0	0	0	0	50	50	-9999	No remarks
2008-08-12	SIL2_080812	SIL2	C	0	0	0	0	45	45	-9999	No remarks
2008-08-12	SIL2_080812	SIL2	D	0	0	0	0	50	50	-9999	No remarks
2008-08-12	SIL3_080812	SIL3	A	0	0	0	0	50	50	-9999	No remarks
2008-08-12	SIL3_080812	SIL3	B	0	0	0	0	20	20	-9999	No remarks
2008-08-12	SIL3_080812	SIL3	C	0	0	0	0	50	50	-9999	No remarks
2008-08-12	SIL3_080812	SIL3	D	0	0	0	0	50	50	-9999	No remarks
2008-08-19	SIL1_080819	SIL1	A	0	8	0	0	11	11	-9999	No remarks
2008-08-19	SIL1_080819	SIL1	B	0	8	0	0	5	5	-9999	No remarks
2008-08-19	SIL1_080819	SIL1	C	0	8	0	0	50	50	-9999	No remarks
2008-08-19	SIL1_080819	SIL1	D	0	8	0	0	22	22	-9999	No remarks
2008-08-19	SIL4_080819	SIL4	A	0	8	0	0	1	1	-9999	No remarks
2008-08-19	SIL4_080819	SIL4	B	0	8	0	0	25	25	-9999	No remarks
2008-08-19	SIL4_080819	SIL4	C	0	8	0	0	50	50	-9999	No remarks
2008-08-19	SIL4_080819	SIL4	D	0	8	0	0	50	50	-9999	No remarks
2008-08-19	SIL2_080819	SIL2	A	0	8	0	0	36	36	-9999	No remarks
2008-08-19	SIL2_080819	SIL2	B	0	8	0	0	50	50	-9999	No remarks
2008-08-19	SIL2_080819	SIL2	C	0	8	0	0	50	50	-9999	No remarks
2008-08-19	SIL2_080819	SIL2	D	0	8	0	0	50	50	-9999	No remarks
2008-08-19	SIL3_080819	SIL3	A	0	8	0	0	50	50	-9999	No remarks
2008-08-19	SIL3_080819	SIL3	B	0	8	0	0	45	45	-9999	No remarks
2008-08-19	SIL3_080819	SIL3	C	0	8	0	0	50	50	-9999	No remarks
2008-08-19	SIL3_080819	SIL3	D	0	8	0	0	50	50	-9999	No remarks
2008-08-26	SIL1_080826	SIL1	A	0	2	0	0	4	4	-9999	No remarks
2008-08-26	SIL1_080826	SIL1	B	0	2	0	0	3	3	-9999	No remarks
2008-08-26	SIL1_080826	SIL1	C	0	2	0	0	50	50	-9999	No remarks
2008-08-26	SIL1_080826	SIL1	D	0	2	0	0	0	0	-9999	No remarks
2008-08-26	SIL4_080826	SIL4	A	0	3	0	0	0	0	-9999	No remarks
2008-08-26	SIL4_080826	SIL4	B	0	3	0	0	23	23	-9999	No remarks
2008-08-26	SIL4_080826	SIL4	C	0	3	0	0	47	47	-9999	No remarks
2008-08-26	SIL4_080826	SIL4	D	0	3	0	0	12	12	-9999	No remarks
2008-08-26	SIL2_080826	SIL2	A	0	4	0	0	13	13	-9999	No remarks
2008-08-26	SIL2_080826	SIL2	B	0	4	0	0	41	41	-9999	No remarks
2008-08-26	SIL2_080826	SIL2	C	0	4	0	0	19	19	-9999	No remarks
2008-08-26	SIL2_080826	SIL2	D	0	4	0	0	50	50	-9999	No remarks
2008-08-26	SIL3_080826	SIL3	A	0	6	0	0	50	50	-9999	No remarks
2008-08-26	SIL3_080826	SIL3	B	0	6	0	0	18	18	-9999	No remarks
2008-08-26	SIL3_080826	SIL3	C	0	6	0	0	50	50	-9999	No remarks
2008-08-26	SIL3_080826	SIL3	D	0	6	0	0	32	32	-9999	No remarks
2008-09-03	SIL1_080903	SIL1	A	0	8	0	0	2	2	-9999	No remarks
2008-09-03	SIL1_080903	SIL1	B	0	8	0	0	3	3	-9999	No remarks
2008-09-03	SIL1_080903	SIL1	C	0	8	0	0	50	50	-9999	No remarks
2008-09-03	SIL1_080903	SIL1	D	0	8	0	0	0	0	-9999	No remarks
2008-09-03	SIL4_080903	SIL4	A	0	8	0	0	0	0	-9999	No remarks
2008-09-03	SIL4_080903	SIL4	B	0	8	0	0	16	16	-9999	No remarks
2008-09-03	SIL4_080903	SIL4	C	0	8	0	0	48	48	-9999	No remarks
2008-09-03	SIL4_080903	SIL4	D	0	8	0	0	7	7	-9999	No remarks
2008-09-03	SIL2_080903	SIL2	A	0	8	0	0	0	0	-9999	No remarks
2008-09-03	SIL2_080903	SIL2	B	0	8	0	0	12	12	-9999	No remarks
2008-09-03	SIL2_080903	SIL2	C	0	8	0	0	4	4	-9999	No remarks
2008-09-03	SIL2_080903	SIL2	D	0	8	0	0	50	50	-9999	No remarks
2008-09-03	SIL3_080903	SIL3	A	0	8	0	0	50	50	-9999	No remarks
2008-09-03	SIL3_080903	SIL3	B	0	8	0	0	7	7	-9999	No remarks
2008-09-03	SIL3_080903	SIL3	C	0	8	0	0	50	50	-9999	No remarks
2008-09-03	SIL3_080903	SIL3	D	0	8	0	0	32	32	-9999	No remarks
2008-09-09	SIL1_080909	SIL1	A	0	2	0	0	1	1	-9999	No remarks
2008-09-09	SIL1_080909	SIL1	B	0	2	0	0	2	2	-9999	No remarks
2008-09-09	SIL1_080909	SIL1	C	0	2	0	0	40	40	-9999	No remarks
2008-09-09	SIL1_080909	SIL1	D	0	2	0	0	0	0	-9999	No remarks
2008-09-09	SIL4_080909	SIL4	A	0	1	0	0	0	0	-9999	No remarks
2008-09-09	SIL4_080909	SIL4	B	0	1	0	0	14	14	-9999	No remarks
2008-09-09	SIL4_080909	SIL4	C	0	1	0	0	17	17	-9999	No remarks
2008-09-09	SIL4_080909	SIL4	D	0	1	0	0	2	2	-9999	No remarks
2008-09-09	SIL2_080909	SIL2	A	0	2	0	0	0	0	-9999	No remarks
2008-09-09	SIL2_080909	SIL2	B	0	2	0	0	5	5	-9999	No remarks
2008-09-09	SIL2_080909	SIL2	C	0	2	0	0	3	3	-9999	No remarks
2008-09-09	SIL2_080909	SIL2	D	0	2	0	0	22	22	-9999	No remarks
2008-09-09	SIL3_080909	SIL3	A	0	1	0	0	12	12	-9999	No remarks
2008-09-09	SIL3_080909	SIL3	B	0	1	0	0	0	0	-9999	No remarks
2008-09-09	SIL3_080909	SIL3	C	0	1	0	0	50	50	-9999	No remarks
2008-09-09	SIL3_080909	SIL3	D	0	1	0	0	25	25	-9999	No remarks
2008-09-16	SIL1_080916	SIL1	A	0	0	0	0	0	0	-9999	No remarks
2008-09-16	SIL1_080916	SIL1	B	0	0	0	0	0	0	-9999	No remarks
2008-09-16	SIL1_080916	SIL1	C	0	0	0	0	32	32	-9999	No remarks
2008-09-16	SIL1_080916	SIL1	D	0	0	0	0	0	0	-9999	No remarks
2008-09-16	SIL4_080916	SIL4	A	0	1	0	0	0	0	-9999	No remarks
2008-09-16	SIL4_080916	SIL4	B	0	1	0	0	8	8	-9999	No remarks
2008-09-16	SIL4_080916	SIL4	C	0	1	0	0	10	10	-9999	No remarks
2008-09-16	SIL4_080916	SIL4	D	0	1	0	0	1	1	-9999	No remarks
2008-09-16	SIL2_080916	SIL2	A	0	1	0	0	0	0	-9999	No remarks
2008-09-16	SIL2_080916	SIL2	B	0	1	0	0	9	9	-9999	No remarks
2008-09-16	SIL2_080916	SIL2	C	0	1	0	0	1	1	-9999	No remarks
2008-09-16	SIL2_080916	SIL2	D	0	1	0	0	42	42	-9999	No remarks
2008-09-16	SIL3_080916	SIL3	A	0	3	0	0	50	50	-9999	No remarks
2008-09-16	SIL3_080916	SIL3	B	0	3	0	0	3	3	-9999	No remarks
2008-09-16	SIL3_080916	SIL3	C	0	3	0	0	50	50	-9999	No remarks
2008-09-16	SIL3_080916	SIL3	D	0	3	0	0	24	24	-9999	No remarks
2008-09-24	SIL1_080924	SIL1	A	0	0	0	0	0	0	-9999	All plants are senescent and it is not possible to distinguis this years senescent flowers anymore
2008-09-24	SIL1_080924	SIL1	B	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SIL1_080924	SIL1	C	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SIL1_080924	SIL1	D	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SIL4_080924	SIL4	A	0	0	0	0	0	0	-9999	All plants are senescent and it is not possible to distinguis this years senescent flowers anymore
2008-09-24	SIL4_080924	SIL4	B	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SIL4_080924	SIL4	C	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SIL4_080924	SIL4	D	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SIL2_080924	SIL2	A	0	0	0	0	0	0	-9999	All plants are senescent and it is not possible to distinguis this years senescent flowers anymore
2008-09-24	SIL2_080924	SIL2	B	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SIL2_080924	SIL2	C	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SIL2_080924	SIL2	D	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SIL3_080924	SIL3	A	0	0	0	0	0	0	-9999	All plants are senescent and it is not possible to distinguis this years senescent flowers anymore
2008-09-24	SIL3_080924	SIL3	B	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SIL3_080924	SIL3	C	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SIL3_080924	SIL3	D	0	0	0	0	0	0	-9999	No remarks
2009-05-28	NA	SIL1	A	100	8	0	0	0	0	-9999	Ca. 75 cm snow
2009-05-28	NA	SIL1	B	100	8	0	0	0	0	-9999	Ca. 75 cm snow
2009-05-28	NA	SIL1	C	100	8	0	0	0	0	-9999	Ca. 75 cm snow
2009-05-28	NA	SIL1	D	100	8	0	0	0	0	-9999	Ca. 75 cm snow
2009-05-28	NA	SIL2	A	100	4	0	0	0	0	-9999	Ca. 30 cm snow
2009-05-28	NA	SIL2	B	100	4	0	0	0	0	-9999	Ca. 30 cm snow
2009-05-28	NA	SIL2	C	100	4	0	0	0	0	-9999	Ca. 30 cm snow
2009-05-28	NA	SIL2	D	100	4	0	0	0	0	-9999	Ca. 30 cm snow
2009-05-28	NA	SIL3	A	100	4	0	0	0	0	-9999	At least 50 cm snow
2009-05-28	NA	SIL3	B	100	4	0	0	0	0	-9999	At least 50 cm snow
2009-05-28	NA	SIL3	C	100	4	0	0	0	0	-9999	At least 50 cm snow
2009-05-28	NA	SIL3	D	100	4	0	0	0	0	-9999	At least 50 cm snow
2009-05-28	NA	SIL4	A	100	4	0	0	0	0	-9999	Ca. 30 cm snow
2009-05-28	NA	SIL4	B	100	4	0	0	0	0	-9999	Ca. 30 cm snow
2009-05-28	NA	SIL4	C	100	4	0	0	0	0	-9999	Ca. 30 cm snow
2009-05-28	NA	SIL4	D	100	4	0	0	0	0	-9999	Ca. 30 cm snow
2009-06-02	NA	SIL1	A	100	8	0	0	0	0	-9999	No remarks
2009-06-02	NA	SIL1	B	100	8	0	0	0	0	-9999	No remarks
2009-06-02	NA	SIL1	C	100	8	0	0	0	0	-9999	No remarks
2009-06-02	NA	SIL1	D	100	8	0	0	0	0	-9999	No remarks
2009-06-02	NA	SIL2	A	100	8	0	0	0	0	-9999	No remarks
2009-06-02	NA	SIL2	B	95	8	1	0	0	1	-9999	No remarks
2009-06-02	NA	SIL2	C	99	8	0	0	0	0	-9999	No remarks
2009-06-02	NA	SIL2	D	100	8	0	0	0	0	-9999	No remarks
2009-06-02	NA	SIL3	A	100	8	0	0	0	0	-9999	No remarks
2009-06-02	NA	SIL3	B	100	8	0	0	0	0	-9999	No remarks
2009-06-02	NA	SIL3	C	100	8	0	0	0	0	-9999	No remarks
2009-06-02	NA	SIL3	D	100	8	0	0	0	0	-9999	No remarks
2009-06-02	SIL4_090602	SIL4	A	40	8	0	0	0	0	-9999	No remarks
2009-06-02	SIL4_090602	SIL4	B	10	8	1	0	0	1	-9999	No remarks
2009-06-02	SIL4_090602	SIL4	C	90	8	0	0	0	0	-9999	No remarks
2009-06-02	SIL4_090602	SIL4	D	70	8	0	0	0	0	-9999	No remarks
2009-06-04	NA	SIL1	A	90	0	0	0	0	0	-9999	No remarks
2009-06-04	NA	SIL1	B	100	0	0	0	0	0	-9999	No remarks
2009-06-04	NA	SIL1	C	100	0	0	0	0	0	-9999	No remarks
2009-06-04	NA	SIL1	D	100	0	0	0	0	0	-9999	No remarks
2009-06-04	SIL2_090604	SIL2	A	25	0	0	0	0	0	-9999	Green leaves
2009-06-04	SIL2_090604	SIL2	B	0	0	0	0	0	0	-9999	Green leaves
2009-06-04	SIL2_090604	SIL2	C	0	0	0	0	0	0	-9999	Green leaves
2009-06-04	SIL2_090604	SIL2	D	5	0	1	0	0	1	-9999	Green leaves
2009-06-04	SIL3_090604	SIL3	A	1	0	0	0	0	0	-9999	Green leaves, small
2009-06-04	SIL3_090604	SIL3	B	40	0	0	0	0	0	-9999	Green leaves, very small
2009-06-04	SIL3_090604	SIL3	C	70	0	0	0	0	0	-9999	No remarks
2009-06-04	SIL3_090604	SIL3	D	3	0	0	0	0	0	-9999	No remarks
2009-06-04	SIL4_090604	SIL4	A	0	0	0	0	0	0	-9999	Green leaves
2009-06-04	SIL4_090604	SIL4	B	0	0	0	0	0	0	-9999	Green leaves
2009-06-04	SIL4_090604	SIL4	C	0	0	0	0	0	0	-9999	Green leaves
2009-06-04	SIL4_090604	SIL4	D	0	0	0	0	0	0	-9999	Green leaves
