Date	Plot	Section	Buds	Flowers	Senescent	TotalFlowering	Field_remarks	General_remarks
1998-07-20	Cas5	B	69	56	0	125	No remarks	No remarks
1998-07-20	Cas5	C	48	48	0	96	No remarks	No remarks
1998-07-20	Cas5	D	101	56	0	157	No remarks	No remarks
1998-07-25	Cas2	A	0	4	0	4	No remarks	No remarks
1998-07-25	Cas2	B	0	6	1	7	No remarks	No remarks
1998-07-25	Cas2	C	0	2	2	4	No remarks	No remarks
1998-07-25	Cas2	D	0	2	2	4	No remarks	No remarks
1998-07-29	Cas3	A	0	2	5	7	No remarks	No remarks
1998-07-29	Cas3	B	0	5	5	10	No remarks	No remarks
1998-07-29	Cas3	C	0	9	1	10	No remarks	No remarks
1998-07-29	Cas3	D	0	1	7	8	No remarks	No remarks
1998-07-29	Cas4	A	0	1	2	3	No remarks	No remarks
1998-07-29	Cas4	B	0	3	5	8	No remarks	No remarks
1998-07-29	Cas4	C	0	4	3	7	No remarks	No remarks
1998-07-29	Cas4	D	0	2	5	7	No remarks	No remarks
1998-08-10	Cas6	A	0	1	2	3	No remarks	No remarks
1998-08-10	Cas6	B	0	0	2	2	No remarks	No remarks
1998-08-10	Cas6	C	0	8	2	10	No remarks	No remarks
1998-08-10	Cas6	D	0	1	0	1	No remarks	No remarks
1999-07-23	Cas1	A	-9999	-9999	-9999	77	No remarks	No remarks
1999-07-23	Cas1	B	-9999	-9999	-9999	109	No remarks	No remarks
1999-07-23	Cas1	C	-9999	-9999	-9999	96	No remarks	No remarks
1999-07-23	Cas1	D	-9999	-9999	-9999	30	No remarks	No remarks
1999-07-29	Cas4	A	0	0	0	0	No remarks	No remarks
1999-07-29	Cas4	B	0	0	0	0	No remarks	No remarks
1999-07-29	Cas4	C	0	1	1	2	No remarks	No remarks
1999-07-29	Cas4	D	0	1	4	5	No remarks	No remarks
1999-08-05	Cas2	A	0	2	1	3	No remarks	No remarks
1999-08-05	Cas2	B	0	1	0	1	No remarks	No remarks
1999-08-05	Cas2	C	0	1	7	8	No remarks	No remarks
1999-08-05	Cas2	D	0	2	2	4	No remarks	No remarks
1999-08-09	Cas5	A	4	11	81	96	Interpolated data	No remarks
1999-08-09	Cas5	B	2	7	110	119	Interpolated data	No remarks
1999-08-09	Cas5	C	1	12	106	119	Interpolated data	No remarks
1999-08-09	Cas5	D	1	2	137	140	Interpolated data	No remarks
1999-08-12	Cas3	A	-9999	-9999	-9999	4	No remarks	No remarks
1999-08-12	Cas3	B	-9999	-9999	-9999	3	No remarks	No remarks
1999-08-12	Cas3	C	-9999	-9999	-9999	10	No remarks	No remarks
1999-08-12	Cas3	D	-9999	-9999	-9999	1	No remarks	No remarks
1999-08-21	Cas6	A	0	0	0	0	Frost damaged	No remarks
1999-08-21	Cas6	B	0	0	0	0	Frost damaged	No remarks
1999-08-21	Cas6	C	0	0	1	1	Frost damaged	No remarks
1999-08-21	Cas6	D	0	0	2	2	Frost damaged	No remarks
2000-07-02	Cas5	A	0	4	3	7	Total count	No remarks
2000-07-02	Cas5	B	0	10	3	13	Total count	No remarks
2000-07-02	Cas5	C	0	8	12	20	Total count	No remarks
2000-07-02	Cas5	D	1	8	1	10	Total count	No remarks
2000-07-22	Cas1	A	-9999	-9999	-9999	4	Total count	No remarks
2000-07-22	Cas1	B	-9999	-9999	-9999	4	Total count	No remarks
2000-07-22	Cas1	C	-9999	-9999	-9999	6	Total count	No remarks
2000-07-22	Cas2	A	-9999	-9999	-9999	4	Total count	No remarks
2000-07-22	Cas2	B	-9999	-9999	-9999	3	Total count	No remarks
2000-07-22	Cas2	C	-9999	-9999	-9999	0	Total count	No remarks
2000-07-22	Cas2	D	-9999	-9999	-9999	1	Total count	No remarks
2000-07-22	Cas6	A	-9999	-9999	-9999	0	Total count	No remarks
2000-07-22	Cas6	B	-9999	-9999	-9999	0	Total count	No remarks
2000-07-22	Cas6	C	-9999	-9999	-9999	0	Total count	No remarks
2000-07-22	Cas6	D	-9999	-9999	-9999	1	Total count	No remarks
2000-07-29	Cas1	D	-9999	-9999	-9999	14	Total count	No remarks
2000-08-05	Cas4	A	0	0	0	0	Total count, no RVI	No remarks
2000-08-05	Cas4	B	0	0	0	0	Total count, no RVI	No remarks
2000-08-05	Cas4	C	0	1	0	1	Total count, no RVI	No remarks
2000-08-05	Cas4	D	0	2	0	2	Total count, no RVI	No remarks
2000-08-26	Cas3	A	0	0	0	0	Total count	No remarks
2000-08-26	Cas3	B	0	0	0	0	Total count	No remarks
2000-08-26	Cas3	C	0	0	0	0	Total count	No remarks
2000-08-26	Cas3	D	0	0	0	0	Total count	No remarks
2001-07-05	Cas5	A	-9999	-9999	-9999	510	No remarks	No remarks
2001-07-05	Cas5	B	-9999	-9999	-9999	733	No remarks	No remarks
2001-07-05	Cas5	C	-9999	-9999	-9999	847	No remarks	No remarks
2001-07-05	Cas5	D	-9999	-9999	-9999	1124	No remarks	No remarks
2001-07-15	Cas1	A	-9999	-9999	-9999	445	No remarks	No remarks
2001-07-15	Cas1	B	-9999	-9999	-9999	590	No remarks	No remarks
2001-07-15	Cas1	C	-9999	-9999	-9999	448	No remarks	No remarks
2001-07-15	Cas1	D	-9999	-9999	-9999	228	No remarks	No remarks
2001-07-15	Cas2	A	-9999	-9999	-9999	344	No remarks	No remarks
2001-07-15	Cas2	B	-9999	-9999	-9999	410	No remarks	No remarks
2001-07-15	Cas2	C	-9999	-9999	-9999	324	No remarks	No remarks
2001-07-15	Cas2	D	-9999	-9999	-9999	275	No remarks	No remarks
2001-07-15	Cas3	A	-9999	-9999	-9999	213	No remarks	No remarks
2001-07-15	Cas3	B	-9999	-9999	-9999	175	No remarks	No remarks
2001-07-15	Cas3	C	-9999	-9999	-9999	274	No remarks	No remarks
2001-07-15	Cas3	D	-9999	-9999	-9999	109	No remarks	No remarks
2001-07-29	Cas4	A	-9999	-9999	-9999	84	No remarks	No remarks
2001-07-29	Cas4	B	-9999	-9999	-9999	92	No remarks	No remarks
2001-07-29	Cas4	C	-9999	-9999	-9999	234	No remarks	No remarks
2001-07-29	Cas4	D	-9999	-9999	-9999	168	No remarks	No remarks
2001-07-31	Cas6	A	-9999	-9999	-9999	91	No remarks	No remarks
2001-07-31	Cas6	B	-9999	-9999	-9999	137	No remarks	No remarks
2001-07-31	Cas6	C	-9999	-9999	-9999	129	No remarks	No remarks
2001-07-31	Cas6	D	-9999	-9999	-9999	187	No remarks	No remarks
2002-07-09	Cas5	A	-9999	-9999	-9999	791	No remarks	No remarks
2002-07-09	Cas5	B	-9999	-9999	-9999	808	No remarks	No remarks
2002-07-09	Cas5	C	-9999	-9999	-9999	632	No remarks	No remarks
2002-07-09	Cas5	D	-9999	-9999	-9999	977	No remarks	No remarks
2002-07-10	Cas1	A	-9999	-9999	-9999	507	41 flowers eaten, probably by lemmings; burrow in use 2 m away	No remarks
2002-07-10	Cas1	B	-9999	-9999	-9999	458	No remarks	No remarks
2002-07-10	Cas1	C	-9999	-9999	-9999	394	11 flowers eaten, probably by lemmings; burrow in use 2 m away	No remarks
2002-07-10	Cas1	D	-9999	-9999	-9999	151	39 flowers eaten, probably by lemmings; burrow in use 2 m away	No remarks
2002-07-10	Cas3	A	-9999	-9999	-9999	171	No remarks	No remarks
2002-07-10	Cas3	B	-9999	-9999	-9999	130	No remarks	No remarks
2002-07-10	Cas3	C	-9999	-9999	-9999	93	No remarks	No remarks
2002-07-10	Cas3	D	-9999	-9999	-9999	55	No remarks	No remarks
2002-07-11	Cas2	A	-9999	-9999	-9999	244	No remarks	No remarks
2002-07-11	Cas2	B	-9999	-9999	-9999	249	No remarks	No remarks
2002-07-11	Cas2	C	-9999	-9999	-9999	232	No remarks	No remarks
2002-07-11	Cas2	D	-9999	-9999	-9999	227	No remarks	No remarks
2002-07-11	Cas4	A	-9999	-9999	-9999	16	No remarks	No remarks
2002-07-11	Cas4	B	-9999	-9999	-9999	8	No remarks	No remarks
2002-07-11	Cas4	C	-9999	-9999	-9999	42	No remarks	No remarks
2002-07-11	Cas4	D	-9999	-9999	-9999	98	No remarks	No remarks
2002-08-02	Cas6	A	-9999	-9999	-9999	118	No remarks	No remarks
2002-08-02	Cas6	B	-9999	-9999	-9999	201	No remarks	No remarks
2002-08-02	Cas6	C	-9999	-9999	-9999	260	No remarks	No remarks
2002-08-02	Cas6	D	-9999	-9999	-9999	157	No remarks	No remarks
2003-07-07	Cas5	A	-9999	-9999	-9999	474	No remarks	No remarks
2003-07-07	Cas5	B	-9999	-9999	-9999	644	No remarks	No remarks
2003-07-07	Cas5	C	-9999	-9999	-9999	703	No remarks	No remarks
2003-07-07	Cas5	D	-9999	-9999	-9999	887	5 predated flowers	No remarks
2003-07-07	Cas6	A	0	-9999	-9999	14	No buds	No remarks
2003-07-07	Cas6	B	0	-9999	-9999	37	No buds	No remarks
2003-07-07	Cas6	C	0	-9999	-9999	51	No buds	No remarks
2003-07-07	Cas6	D	0	-9999	-9999	32	No buds	No remarks
2003-07-08	Cas1	A	-9999	-9999	-9999	222	Two flowers with larvae holes	No remarks
2003-07-08	Cas1	B	-9999	-9999	-9999	313	No remarks	No remarks
2003-07-08	Cas1	C	-9999	-9999	-9999	241	One fully eaten	No remarks
2003-07-08	Cas1	D	-9999	-9999	-9999	75	No remarks	No remarks
2003-07-08	Cas3	A	-9999	-9999	-9999	267	No remarks	No remarks
2003-07-08	Cas3	B	-9999	-9999	-9999	259	Two flowers depredated	No remarks
2003-07-08	Cas3	C	-9999	-9999	-9999	209	No remarks	No remarks
2003-07-08	Cas3	D	-9999	-9999	-9999	82	No remarks	No remarks
2003-07-09	Cas2	A	-9999	-9999	-9999	211	No remarks	No remarks
2003-07-09	Cas2	B	-9999	-9999	-9999	282	No remarks	No remarks
2003-07-09	Cas2	C	-9999	-9999	-9999	299	No remarks	No remarks
2003-07-09	Cas2	D	-9999	-9999	-9999	209	No remarks	No remarks
2003-07-15	Cas4	A	-9999	-9999	-9999	196	No remarks	No remarks
2003-07-15	Cas4	B	-9999	-9999	-9999	262	No remarks	No remarks
2003-07-15	Cas4	C	-9999	-9999	-9999	490	No remarks	No remarks
2003-07-15	Cas4	D	-9999	-9999	-9999	241	No remarks	No remarks
2004-07-02	Cas1	A	-9999	-9999	-9999	592	No remarks	No remarks
2004-07-02	Cas1	B	-9999	-9999	-9999	564	No remarks	No remarks
2004-07-02	Cas1	C	-9999	-9999	-9999	611	No remarks	No remarks
2004-07-02	Cas1	D	-9999	-9999	-9999	313	No remarks	No remarks
2004-07-04	Cas5	A	-9999	-9999	-9999	530	No remarks	No remarks
2004-07-04	Cas5	B	-9999	-9999	-9999	488	No remarks	No remarks
2004-07-04	Cas5	C	-9999	-9999	-9999	440	No remarks	No remarks
2004-07-04	Cas5	D	-9999	-9999	-9999	548	No remarks	No remarks
2004-07-04	Cas6	A	-9999	-9999	-9999	363	No remarks	No remarks
2004-07-04	Cas6	B	-9999	-9999	-9999	560	No remarks	No remarks
2004-07-04	Cas6	C	-9999	-9999	-9999	1000	No remarks	No remarks
2004-07-04	Cas6	D	-9999	-9999	-9999	873	No remarks	No remarks
2004-07-06	Cas3	A	-9999	-9999	-9999	277	No remarks	No remarks
2004-07-06	Cas3	B	-9999	-9999	-9999	283	No remarks	No remarks
2004-07-06	Cas3	C	-9999	-9999	-9999	164	No remarks	No remarks
2004-07-06	Cas3	D	-9999	-9999	-9999	67	No remarks	No remarks
2004-07-10	Cas2	A	-9999	-9999	-9999	447	No remarks	No remarks
2004-07-10	Cas2	B	-9999	-9999	-9999	582	No remarks	No remarks
2004-07-10	Cas2	C	-9999	-9999	-9999	463	No remarks	No remarks
2004-07-10	Cas2	D	-9999	-9999	-9999	253	No remarks	No remarks
2004-07-10	Cas4	A	-9999	-9999	-9999	263	No remarks	No remarks
2004-07-10	Cas4	B	-9999	-9999	-9999	159	No remarks	No remarks
2004-07-10	Cas4	C	-9999	-9999	-9999	447	No remarks	No remarks
2004-07-10	Cas4	D	-9999	-9999	-9999	405	No remarks	No remarks
2005-07-15	Cas1	A	-9999	-9999	-9999	348	No remarks	Note: Raw data missing. Total number only available for entire plot (1392), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas1	B	-9999	-9999	-9999	348	No remarks	Note: Raw data missing. Total number only available for entire plot (1392), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas1	C	-9999	-9999	-9999	348	No remarks	Note: Raw data missing. Total number only available for entire plot (1392), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas1	D	-9999	-9999	-9999	348	No remarks	Note: Raw data missing. Total number only available for entire plot (1392), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas2	A	-9999	-9999	-9999	301	No remarks	Note: Raw data missing. Total number only available for entire plot (1203), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas2	B	-9999	-9999	-9999	301	No remarks	Note: Raw data missing. Total number only available for entire plot (1203), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas2	C	-9999	-9999	-9999	301	No remarks	Note: Raw data missing. Total number only available for entire plot (1203), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas2	D	-9999	-9999	-9999	301	No remarks	Note: Raw data missing. Total number only available for entire plot (1203), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas3	A	-9999	-9999	-9999	216	No remarks	Note: Raw data missing. Total number only available for entire plot (862), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas3	B	-9999	-9999	-9999	216	No remarks	Note: Raw data missing. Total number only available for entire plot (862), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas3	C	-9999	-9999	-9999	216	No remarks	Note: Raw data missing. Total number only available for entire plot (862), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas3	D	-9999	-9999	-9999	216	No remarks	Note: Raw data missing. Total number only available for entire plot (862), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas4	A	-9999	-9999	-9999	464	No remarks	Note: Raw data missing. Total number only available for entire plot (1857), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas4	B	-9999	-9999	-9999	464	No remarks	Note: Raw data missing. Total number only available for entire plot (1857), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas4	C	-9999	-9999	-9999	464	No remarks	Note: Raw data missing. Total number only available for entire plot (1857), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas4	D	-9999	-9999	-9999	464	No remarks	Note: Raw data missing. Total number only available for entire plot (1857), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas5	A	-9999	-9999	-9999	662	No remarks	Note: Raw data missing. Total number only available for entire plot (2648), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas5	B	-9999	-9999	-9999	662	No remarks	Note: Raw data missing. Total number only available for entire plot (2648), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas5	C	-9999	-9999	-9999	662	No remarks	Note: Raw data missing. Total number only available for entire plot (2648), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas5	D	-9999	-9999	-9999	662	No remarks	Note: Raw data missing. Total number only available for entire plot (2648), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas6	A	-9999	-9999	-9999	985	No remarks	Note: Raw data missing. Total number only available for entire plot (3938), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas6	B	-9999	-9999	-9999	985	No remarks	Note: Raw data missing. Total number only available for entire plot (3938), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas6	C	-9999	-9999	-9999	985	No remarks	Note: Raw data missing. Total number only available for entire plot (3938), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2005-07-15	Cas6	D	-9999	-9999	-9999	985	No remarks	Note: Raw data missing. Total number only available for entire plot (3938), i.e. total count per section is set to one fourth of plot total count. Date is arbitrary.
2006-07-05	Cas1	A	89	147	0	236	No remarks	No remarks
2006-07-05	Cas1	B	132	201	0	333	No remarks	No remarks
2006-07-05	Cas1	C	93	222	0	315	No remarks	No remarks
2006-07-05	Cas1	D	33	56	0	89	No remarks	No remarks
2006-07-11	Cas5	A	35	188	5	228	No remarks	No remarks
2006-07-11	Cas5	B	11	304	3	318	No remarks	No remarks
2006-07-11	Cas5	C	33	245	26	304	No remarks	No remarks
2006-07-11	Cas5	D	25	354	9	388	No remarks	No remarks
2006-07-25	Cas2	A	10	121	9	140	No remarks	No remarks
2006-07-25	Cas2	B	24	160	11	195	No remarks	No remarks
2006-07-25	Cas2	C	29	97	7	133	No remarks	No remarks
2006-07-25	Cas2	D	23	91	11	125	No remarks	No remarks
2006-07-25	Cas3	A	1	60	11	72	No remarks	No remarks
2006-07-25	Cas3	B	5	154	6	165	No remarks	No remarks
2006-07-25	Cas3	C	3	122	7	132	No remarks	No remarks
2006-07-25	Cas3	D	0	62	1	63	No remarks	No remarks
2006-07-25	Cas4	A	1	158	13	172	No remarks	No remarks
2006-07-25	Cas4	B	0	67	6	73	No remarks	No remarks
2006-07-25	Cas4	C	0	84	54	138	No remarks	No remarks
2006-07-25	Cas4	D	0	128	9	137	No remarks	No remarks
2006-07-27	Cas6	A	3	17	1	21	No remarks	No remarks
2006-07-27	Cas6	B	3	78	1	82	No remarks	No remarks
2006-07-27	Cas6	C	45	215	6	266	No remarks	No remarks
2006-07-27	Cas6	D	61	180	0	241	No remarks	No remarks
2007-07-05	Cas1	A	1	95	0	96	Total count	No remarks
2007-07-05	Cas1	B	0	122	0	122	Total count	No remarks
2007-07-05	Cas1	C	4	149	1	154	Total count	No remarks
2007-07-05	Cas1	D	1	62	0	63	Total count	No remarks
2007-07-13	Cas2	A	3	67	19	89	Total count	No remarks
2007-07-13	Cas2	B	1	78	7	86	Total count	No remarks
2007-07-13	Cas2	C	0	68	10	78	Total count	No remarks
2007-07-13	Cas2	D	2	44	1	47	Total count	No remarks
2007-07-13	Cas3	A	0	15	6	21	Total count	No remarks
2007-07-13	Cas3	B	0	34	1	35	Total count	No remarks
2007-07-13	Cas3	C	0	17	0	17	Total count	No remarks
2007-07-13	Cas3	D	0	11	2	13	Total count	No remarks
2007-07-13	Cas4	A	3	27	0	30	Total count	No remarks
2007-07-13	Cas4	B	0	35	6	41	Total count	No remarks
2007-07-13	Cas4	C	0	75	14	89	Total count	No remarks
2007-07-13	Cas4	D	1	58	4	63	Total count	No remarks
2008-07-12	Cas1	A	2	166	12	180	Total Count	No remarks
2008-07-12	Cas1	B	4	334	110	448	Total Count	No remarks
2008-07-12	Cas1	C	3	240	87	330	Total Count	No remarks
2008-07-12	Cas1	D	1	184	40	225	Total Count	No remarks
2008-07-21	Cas2	A	0	128	80	208	Total Count	No remarks
2008-07-21	Cas2	B	0	237	45	282	Total Count	No remarks
2008-07-21	Cas2	C	7	193	76	276	Total Count	No remarks
2008-07-21	Cas2	D	5	166	21	192	Total Count	No remarks
2008-07-25	Cas4	A	0	228	101	329	Total	No remarks
2008-07-25	Cas4	B	0	76	158	234	Total	No remarks
2008-07-25	Cas4	C	0	218	241	459	Total	No remarks
2008-07-25	Cas4	D	2	181	135	318	Total	No remarks
2008-07-29	Cas3	A	2	2	179	183	Total	No remarks
2008-07-29	Cas3	B	4	0	263	267	Total	No remarks
2008-07-29	Cas3	C	3	0	177	180	Total	No remarks
2008-07-29	Cas3	D	0	0	74	74	Total	No remarks
2009-07-08	Cas2	A	4	71	48	123	No remarks	No remarks
2009-07-08	Cas2	B	1	111	30	142	No remarks	No remarks
2009-07-08	Cas2	C	0	108	15	123	No remarks	No remarks
2009-07-08	Cas2	D	0	155	12	167	No remarks	No remarks
2009-07-08	Cas3	A	0	51	17	68	No remarks	No remarks
2009-07-08	Cas3	B	0	55	28	83	No remarks	No remarks
2009-07-08	Cas3	C	0	58	22	80	No remarks	No remarks
2009-07-08	Cas3	D	0	19	6	25	No remarks	No remarks
2009-07-15	Cas4	A	0	70	43	113	No remarks	No remarks
2009-07-15	Cas4	B	0	40	22	62	No remarks	No remarks
2009-07-15	Cas4	C	0	103	94	197	No remarks	No remarks
2009-07-15	Cas4	D	0	46	19	65	No remarks	No remarks
2009-07-24	Cas1	A	0	0	68	68	Finished	No remarks
2009-07-24	Cas1	B	0	0	62	62	Finished	No remarks
2009-07-24	Cas1	C	0	0	74	74	Finished	No remarks
2009-07-24	Cas1	D	0	0	29	29	Finished	No remarks
2010-07-09	Cas1	A	0	48	40	88	No remarks	No remarks
2010-07-09	Cas1	B	0	79	61	140	No remarks	No remarks
2010-07-09	Cas1	C	0	56	75	131	No remarks	No remarks
2010-07-09	Cas1	D	0	48	24	72	No remarks	No remarks
2010-07-15	Cas2	A	0	49	7	56	No remarks	No remarks
2010-07-15	Cas2	B	3	80	11	94	No remarks	No remarks
2010-07-15	Cas2	C	0	95	43	138	No remarks	No remarks
2010-07-15	Cas2	D	0	34	18	52	No remarks	No remarks
2010-07-15	Cas3	A	0	24	6	30	No remarks	No remarks
2010-07-15	Cas3	B	0	79	3	82	No remarks	No remarks
2010-07-15	Cas3	C	1	54	30	85	No remarks	No remarks
2010-07-15	Cas3	D	0	26	4	30	No remarks	No remarks
2010-07-15	Cas4	A	2	83	0	85	No remarks	No remarks
2010-07-15	Cas4	B	1	30	3	34	No remarks	No remarks
2010-07-15	Cas4	C	2	115	0	117	No remarks	No remarks
2010-07-15	Cas4	D	0	68	0	68	No remarks	No remarks
2011-07-05	Cas1	A	-9999	-9999	-9999	242	No remarks	Total count, LAHH no differentiated count
