Date	Plot	Section	Buds	Flowers	Senescent	Open	TotalFlowering	TotalCount	Field_Remarks	General_remarks
1997-06-16	Sax3	B	-9999	-9999	-9999	-9999	49	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sax3	C	-9999	-9999	-9999	-9999	70	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sax1	D	-9999	-9999	-9999	-9999	18	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sax2	A	-9999	-9999	-9999	-9999	52	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sax2	B	-9999	-9999	-9999	-9999	67	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sax2	C	-9999	-9999	-9999	-9999	167	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sax3	D	-9999	-9999	-9999	-9999	30	TOTALCOUNT	No remarks	No remarks
1997-06-17	Sax1	D	0	4	11	0	-9999	NA	No remarks	No remarks
1997-06-17	Sax2	A	0	37	7	0	-9999	NA	No remarks	No remarks
1997-06-17	Sax2	B	0	50	5	0	-9999	NA	No remarks	No remarks
1997-06-17	Sax2	C	0	51	14	0	-9999	NA	No remarks	No remarks
1997-06-17	Sax1	A	0	10	11	0	-9999	NA	No remarks	No remarks
1997-06-17	Sax1	B	0	7	8	0	-9999	NA	No remarks	No remarks
1997-06-17	Sax1	C	0	21	13	0	-9999	NA	No remarks	No remarks
1997-06-17	Sax3	A	0	24	52	0	-9999	NA	No remarks	No remarks
1997-06-17	Sax3	B	0	20	10	0	-9999	NA	No remarks	No remarks
1997-06-17	Sax3	C	0	29	24	0	-9999	NA	No remarks	No remarks
1997-06-17	Sax3	D	0	16	20	0	-9999	NA	No remarks	No remarks
1997-06-17	Sax2	D	0	31	13	0	-9999	NA	No remarks	No remarks
1997-06-24	Sax1	A	0	0	16	0	-9999	NA	No remarks	No remarks
1997-06-24	Sax1	B	0	1	17	0	-9999	NA	No remarks	No remarks
1997-06-24	Sax1	C	0	0	23	0	-9999	NA	No remarks	No remarks
1997-06-24	Sax1	D	0	0	10	0	-9999	NA	No remarks	No remarks
1997-06-24	Sax3	A	0	5	52	0	-9999	NA	No remarks	No remarks
1997-06-24	Sax3	B	0	12	32	0	-9999	NA	No remarks	No remarks
1997-06-24	Sax3	C	0	4	32	0	-9999	NA	No remarks	No remarks
1997-06-24	Sax2	A	0	13	18	0	-9999	NA	No remarks	No remarks
1997-06-24	Sax2	B	0	14	23	0	-9999	NA	No remarks	No remarks
1997-06-24	Sax2	C	0	12	27	0	-9999	NA	No remarks	No remarks
1997-06-24	Sax2	D	0	15	28	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax1	A	0	0	15	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax2	B	0	2	32	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax2	C	0	4	50	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax2	D	0	3	49	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax3	A	0	2	68	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax3	B	0	4	24	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax1	B	0	0	11	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax1	C	0	0	15	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax1	D	0	0	14	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax2	A	0	3	29	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax3	C	0	1	67	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax3	D	0	3	52	0	-9999	NA	No remarks	No remarks
1997-07-01	Sax3	D	0	4	42	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax1	B	0	0	15	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax1	C	0	0	13	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax1	D	0	0	14	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax2	A	0	1	45	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax3	B	0	0	18	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax3	C	0	0	37	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax3	D	0	0	48	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax1	A	0	0	14	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax2	B	0	1	44	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax2	C	0	2	80	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax2	D	0	3	5	0	-9999	NA	No remarks	No remarks
1997-07-08	Sax3	A	0	0	49	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax1	A	0	0	13	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax2	C	0	0	50	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax2	D	0	0	45	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax3	A	0	0	50	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax3	B	0	0	50	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax1	B	0	0	22	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax1	C	0	0	32	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax1	D	0	0	18	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax2	A	0	0	25	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax2	B	0	0	47	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax3	C	0	0	24	0	-9999	NA	No remarks	No remarks
1997-07-15	Sax3	D	0	0	23	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax1	A	0	0	21	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax1	B	0	0	18	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax2	C	0	0	50	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax1	C	0	0	26	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax1	D	0	0	8	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax2	A	0	0	42	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax2	B	0	0	48	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax3	C	0	0	31	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax3	D	0	0	50	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax2	D	0	0	50	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax3	A	0	0	50	0	-9999	NA	No remarks	No remarks
1997-07-22	Sax3	B	0	0	30	0	-9999	NA	No remarks	No remarks
1997-07-29	Sax1	A	0	0	21	0	-9999	NA	No remarks	No remarks
1997-07-29	Sax1	B	0	0	14	2	-9999	NA	No remarks	No remarks
1997-07-29	Sax2	D	0	0	50	0	-9999	NA	No remarks	No remarks
1997-07-29	Sax3	A	0	0	50	2	-9999	NA	No remarks	No remarks
1997-07-29	Sax3	B	0	0	34	0	-9999	NA	No remarks	No remarks
1997-07-29	Sax3	C	0	0	33	0	-9999	NA	No remarks	No remarks
1997-07-29	Sax1	C	0	0	16	0	-9999	NA	No remarks	No remarks
1997-07-29	Sax1	D	0	0	6	0	-9999	NA	No remarks	No remarks
1997-07-29	Sax2	A	0	0	23	0	-9999	NA	No remarks	No remarks
1997-07-29	Sax2	B	0	0	34	0	-9999	NA	No remarks	No remarks
1997-07-29	Sax2	C	0	1	48	1	-9999	NA	No remarks	No remarks
1997-07-29	Sax3	D	0	0	46	0	-9999	NA	No remarks	No remarks
1997-08-05	Sax1	D	0	0	13	0	-9999	NA	No remarks	No remarks
1997-08-05	Sax2	A	0	0	26	0	-9999	NA	No remarks	No remarks
1997-08-05	Sax2	B	0	0	39	0	-9999	NA	No remarks	No remarks
1997-08-05	Sax2	C	0	0	59	0	-9999	NA	No remarks	No remarks
1997-08-05	Sax3	D	0	0	34	4	-9999	NA	No remarks	No remarks
1997-08-05	Sax1	A	3	7	21	2	-9999	NA	No remarks	No remarks
1997-08-05	Sax1	B	0	0	12	4	-9999	NA	No remarks	No remarks
1997-08-05	Sax1	C	0	0	14	0	-9999	NA	No remarks	No remarks
1997-08-05	Sax2	D	0	0	48	1	-9999	NA	No remarks	No remarks
1997-08-05	Sax3	A	0	0	50	5	-9999	NA	No remarks	No remarks
1997-08-05	Sax3	B	0	0	25	0	-9999	NA	No remarks	No remarks
1997-08-05	Sax3	C	0	0	25	0	-9999	NA	No remarks	No remarks
1997-08-12	Sax1	A	1	15	7	11	-9999	NA	No remarks	No remarks
1997-08-12	Sax1	B	0	0	3	10	-9999	NA	No remarks	No remarks
1997-08-12	Sax1	C	0	0	4	12	-9999	NA	No remarks	No remarks
1997-08-12	Sax1	D	0	0	7	3	-9999	NA	No remarks	No remarks
1997-08-12	Sax3	A	0	0	16	39	-9999	NA	No remarks	No remarks
1997-08-12	Sax3	B	0	0	3	8	-9999	NA	No remarks	No remarks
1997-08-12	Sax3	C	0	2	3	17	-9999	NA	No remarks	No remarks
1997-08-12	Sax3	D	0	0	1	25	-9999	NA	No remarks	No remarks
1997-08-12	Sax2	A	0	0	22	4	-9999	NA	No remarks	No remarks
1997-08-12	Sax2	B	0	0	25	4	-9999	NA	No remarks	No remarks
1997-08-12	Sax2	C	0	0	50	10	-9999	NA	No remarks	No remarks
1997-08-12	Sax2	D	0	0	35	13	-9999	NA	No remarks	No remarks
1998-05-27	Sax2	A	0	0	0	0	-9999	NA	No remarks	No remarks
1998-05-27	Sax1	A	0	0	0	0	-9999	NA	No remarks	No remarks
1998-05-27	Sax1	B	0	0	0	0	-9999	NA	No remarks	No remarks
1998-05-27	Sax1	C	0	0	0	0	-9999	NA	No remarks	No remarks
1998-05-27	Sax1	D	0	0	0	0	-9999	NA	No remarks	No remarks
1998-05-27	Sax2	B	0	0	0	0	-9999	NA	No remarks	No remarks
1998-05-27	Sax2	C	0	0	0	0	-9999	NA	No remarks	No remarks
1998-05-27	Sax2	D	0	0	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax1	A	34	16	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax1	B	40	10	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax2	A	21	0	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax2	B	11	0	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax2	C	50	0	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax2	D	50	0	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax3	A	21	0	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax1	C	2	5	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax1	D	12	5	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax3	B	9	0	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax3	C	18	0	0	0	-9999	NA	No remarks	No remarks
1998-06-03	Sax3	D	20	0	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax1	B	2	48	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax1	C	0	7	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax1	D	6	12	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax2	A	0	50	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax3	B	8	1	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax3	C	15	6	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax3	D	11	15	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax1	A	0	50	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax2	B	0	29	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax2	C	0	50	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax2	D	0	50	0	0	-9999	NA	No remarks	No remarks
1998-06-10	Sax3	A	4	46	0	0	-9999	NA	No remarks	No remarks
1998-06-15	Sax3	A	0	117	11	0	128	TOTALCOUNT	No remarks	No remarks
1998-06-15	Sax3	B	3	59	0	0	62	TOTALCOUNT	No remarks	No remarks
1998-06-15	Sax3	C	0	39	1	0	40	TOTALCOUNT	No remarks	No remarks
1998-06-15	Sax3	D	0	27	31	0	58	TOTALCOUNT	No remarks	No remarks
1998-06-17	Sax1	A	13	32	36	0	-9999	NA	No remarks	No remarks
1998-06-17	Sax1	B	-9999	-9999	-9999	-9999	57	TOTALCOUNT	No remarks	No remarks
1998-06-17	Sax1	B	0	25	32	0	-9999	NA	No remarks	No remarks
1998-06-17	Sax1	C	-9999	-9999	-9999	-9999	8	TOTALCOUNT	No remarks	No remarks
1998-06-17	Sax1	C	0	3	5	0	-9999	NA	No remarks	No remarks
1998-06-17	Sax2	B	-9999	-9999	-9999	-9999	28	TOTALCOUNT	No remarks	No remarks
1998-06-17	Sax2	B	3	25	0	0	-9999	NA	No remarks	No remarks
1998-06-17	Sax2	C	-9999	-9999	-9999	-9999	153	TOTALCOUNT	No remarks	No remarks
1998-06-17	Sax2	C	9	144	0	0	-9999	NA	No remarks	No remarks
1998-06-17	Sax1	A	-9999	-9999	-9999	-9999	81	TOTALCOUNT	No remarks	No remarks
1998-06-17	Sax1	D	-9999	-9999	-9999	-9999	17	TOTALCOUNT	No remarks	No remarks
1998-06-17	Sax1	D	0	5	12	0	-9999	NA	No remarks	No remarks
1998-06-17	Sax2	A	-9999	-9999	-9999	-9999	75	TOTALCOUNT	No remarks	No remarks
1998-06-17	Sax2	A	0	75	0	0	-9999	NA	No remarks	No remarks
1998-06-17	Sax2	D	-9999	-9999	-9999	-9999	176	TOTALCOUNT	No remarks	No remarks
1998-06-17	Sax2	D	0	171	5	0	-9999	NA	No remarks	No remarks
1998-06-17	Sax3	A	0	43	8	0	-9999	NA	No remarks	No remarks
1998-06-17	Sax3	B	0	50	0	0	-9999	NA	No remarks	No remarks
1998-06-17	Sax3	C	0	27	13	0	-9999	NA	No remarks	No remarks
1998-06-17	Sax3	D	0	15	18	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax1	C	0	2	5	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax1	D	0	3	17	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax2	A	0	42	8	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax2	B	0	28	5	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax2	C	0	39	9	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax3	D	0	3	30	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax1	A	5	26	22	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax1	B	0	25	27	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax2	D	0	41	9	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax3	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax3	B	0	32	19	0	-9999	NA	No remarks	No remarks
1998-06-24	Sax3	C	0	0	41	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax1	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax1	B	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax1	C	0	0	7	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax2	D	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax3	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax3	B	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax3	C	0	0	41	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax1	D	0	0	20	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax2	A	0	45	5	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax2	B	0	29	1	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax2	C	0	1	49	0	-9999	NA	No remarks	No remarks
1998-07-01	Sax3	D	0	0	33	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax1	D	0	0	20	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax2	A	0	12	38	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax2	B	0	13	17	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax2	C	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax2	D	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax1	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax1	B	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax1	C	0	0	8	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax3	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax3	B	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax3	C	0	0	41	0	-9999	NA	No remarks	No remarks
1998-07-08	Sax3	D	0	0	33	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax1	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax1	B	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax1	C	0	0	8	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax1	D	0	0	20	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax3	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax3	B	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax3	C	0	0	40	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax3	D	0	0	33	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax2	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax2	B	0	0	30	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax2	C	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-15	Sax2	D	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax2	B	0	0	30	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax2	C	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax2	D	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax1	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax1	B	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax3	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax1	C	0	0	8	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax1	D	0	0	20	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax2	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax3	B	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax3	C	0	0	40	0	-9999	NA	No remarks	No remarks
1998-07-22	Sax3	D	0	0	35	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax1	B	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax1	C	0	0	8	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax1	D	0	0	20	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax2	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax3	B	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax3	C	0	0	40	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax3	D	0	0	35	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax1	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax2	B	0	0	30	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax2	C	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax2	D	0	0	50	0	-9999	NA	No remarks	No remarks
1998-07-29	Sax3	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-08-05	Sax1	A	0	0	42	8	-9999	NA	No remarks	No remarks
1998-08-05	Sax2	C	0	0	50	0	-9999	NA	No remarks	No remarks
1998-08-05	Sax2	D	0	0	46	4	-9999	NA	No remarks	No remarks
1998-08-05	Sax3	A	0	0	50	0	-9999	NA	No remarks	No remarks
1998-08-05	Sax3	B	0	0	50	0	-9999	NA	No remarks	No remarks
1998-08-05	Sax1	B	0	0	44	6	-9999	NA	No remarks	No remarks
1998-08-05	Sax1	C	0	0	4	11	-9999	NA	No remarks	No remarks
1998-08-05	Sax1	D	0	0	18	2	-9999	NA	No remarks	No remarks
1998-08-05	Sax2	A	0	0	49	1	-9999	NA	No remarks	No remarks
1998-08-05	Sax2	B	0	0	26	4	-9999	NA	No remarks	No remarks
1998-08-05	Sax3	C	0	0	40	0	-9999	NA	No remarks	No remarks
1998-08-05	Sax3	D	0	0	35	0	-9999	NA	No remarks	No remarks
1998-08-12	Sax1	C	0	0	5	10	-9999	NA	No remarks	No remarks
1998-08-12	Sax1	D	0	0	17	6	-9999	NA	No remarks	No remarks
1998-08-12	Sax2	A	0	0	48	2	-9999	NA	No remarks	No remarks
1998-08-12	Sax2	B	0	0	26	4	-9999	NA	No remarks	No remarks
1998-08-12	Sax3	C	0	0	40	0	-9999	NA	No remarks	No remarks
