Date	Photo_no	Observer	Plot	Section	Snow	Cloud_cover	TotalCount	Remarks
2009-07-21	NA	JoNy	Eri3	A	0	0	335	No remarks
2009-07-21	NA	JoNy	Eri3	B	0	0	134	No remarks
2009-07-21	NA	JoNy	Eri3	C	0	0	33	No remarks
2009-07-21	NA	JoNy	Eri3	D	0	0	63	No remarks
2009-07-21	NA	JoNy	Eri4	A	0	0	208	No remarks
2009-07-21	NA	JoNy	Eri4	B	0	0	343	No remarks
2009-07-21	NA	JoNy	Eri4	C	0	0	423	No remarks
2009-07-21	NA	JoNy	Eri4	D	0	0	265	No remarks
2010-07-12	NA	PeAa	Eri1	A	0	0	25	No remarks
2010-07-12	NA	PeAa	Eri1	B	0	0	48	No remarks
2010-07-12	NA	PeAa	Eri1	C	0	0	36	No remarks
2010-07-12	NA	PeAa	Eri1	D	0	0	67	No remarks
2010-07-12	NA	PeAa	Eri2	A	0	0	98	No remarks
2010-07-12	NA	PeAa	Eri2	B	0	0	148	No remarks
2010-07-12	NA	PeAa	Eri2	C	0	0	88	No remarks
2010-07-12	NA	PeAa	Eri2	D	0	0	76	No remarks
2010-07-12	NA	PeAa	Eri3	A	0	0	84	No remarks
2010-07-12	NA	PeAa	Eri3	B	0	0	46	No remarks
2010-07-12	NA	PeAa	Eri3	C	0	0	123	No remarks
2010-07-12	NA	PeAa	Eri3	D	0	0	92	No remarks
2010-07-12	NA	PeAa	Eri4	A	0	0	345	No remarks
2010-07-12	NA	PeAa	Eri4	B	0	0	295	No remarks
2010-07-12	NA	PeAa	Eri4	C	0	0	287	No remarks
2010-07-12	NA	PeAa	Eri4	D	0	0	340	No remarks
2012-07-02	ERI1_120702	JoNy	ERI1	A	0	0	36	No remarks
2012-07-02	ERI1_120702	JoNy	ERI1	B	0	0	12	No remarks
2012-07-02	ERI1_120702	JoNy	ERI1	C	0	0	34	No remarks
2012-07-02	ERI1_120702	JoNy	ERI1	D	0	0	95	No remarks
2012-07-02	ERI2_120619	JoNy	ERI2	A	0	0	0	No remarks
2012-07-02	ERI2_120619	JoNy	ERI2	B	0	0	0	No remarks
2012-07-02	ERI2_120619	JoNy	ERI2	C	0	0	0	No remarks
2012-07-02	ERI2_120619	JoNy	ERI2	D	0	0	0	No remarks
2012-08-09	ERI3_120809	JoNy	ERI3	A	0	0	0	No remarks
2012-08-09	ERI3_120809	JoNy	ERI3	B	0	0	1	No remarks
2012-08-09	ERI3_120809	JoNy	ERI3	C	0	0	0	No remarks
2012-08-09	ERI3_120809	JoNy	ERI3	D	0	0	0	No remarks
2012-08-09	ERI4_1200809	JoNy	ERI4	A	0	0	2	No remarks
2012-08-09	ERI4_1200809	JoNy	ERI4	B	0	0	0	No remarks
2012-08-09	ERI4_1200809	JoNy	ERI4	C	0	0	0	No remarks
2012-08-09	ERI4_1200809	JoNy	ERI4	D	0	0	1	No remarks
2013-07-17	NA	JoNy	ERI1	A	0	-9999	20	No remarks
2013-07-17	NA	JoNy	ERI1	B	0	-9999	11	No remarks
2013-07-17	NA	JoNy	ERI1	C	0	-9999	14	No remarks
2013-07-17	NA	JoNy	ERI1	D	0	-9999	17	No remarks
2013-07-17	NA	JoNy	ERI2	A	0	-9999	92	No remarks
2013-07-17	NA	JoNy	ERI2	B	0	-9999	112	No remarks
2013-07-17	NA	JoNy	ERI2	C	0	-9999	86	No remarks
2013-07-17	NA	JoNy	ERI2	D	0	-9999	73	No remarks
2013-07-17	NA	JoNy	ERI3	A	0	-9999	7	No remarks
2013-07-17	NA	JoNy	ERI3	B	0	-9999	0	No remarks
2013-07-17	NA	JoNy	ERI3	C	0	-9999	10	No remarks
2013-07-17	NA	JoNy	ERI3	D	0	-9999	22	No remarks
2013-08-20	NA	JoNy	ERI4	A	0	-9999	65	No remarks
2013-08-20	NA	JoNy	ERI4	B	0	-9999	22	No remarks
2013-08-20	NA	JoNy	ERI4	C	0	-9999	42	No remarks
2013-08-20	NA	JoNy	ERI4	D	0	-9999	47	No remarks
2014-07-07	ERI1_140707	KaRa	ERI1	A	0	8	87	No remarks
2014-07-07	ERI1_140707	KaRa	ERI1	B	0	8	71	No remarks
2014-07-07	ERI1_140707	KaRa	ERI1	C	0	8	81	No remarks
2014-07-07	ERI1_140707	KaRa	ERI1	D	0	8	144	No remarks
2014-07-07	ERI2_140707	KaRa	ERI2	A	0	8	48	No remarks
2014-07-07	ERI2_140707	KaRa	ERI2	B	0	8	58	No remarks
2014-07-07	ERI2_140707	KaRa	ERI2	C	0	8	21	No remarks
2014-07-07	ERI2_140707	KaRa	ERI2	D	0	8	19	No remarks
2014-07-07	ERI3_140707	KaRa	ERI3	A	0	8	10	No remarks
2014-07-07	ERI3_140707	KaRa	ERI3	B	0	8	3	No remarks
2014-07-07	ERI3_140707	KaRa	ERI3	C	0	8	15	No remarks
2014-07-07	ERI3_140707	KaRa	ERI3	D	0	8	14	No remarks
2014-07-08	ERI4_140708	KaRa/StPe	ERI4	A	0	-9999	200	No remarks
2014-07-08	ERI4_140708	KaRa/StPe	ERI4	B	0	-9999	280	No remarks
2014-07-08	ERI4_140708	KaRa/StPe	ERI4	C	0	-9999	239	No remarks
2014-07-08	ERI4_140708	KaRa/StPe	ERI4	D	0	-9999	344	No remarks
2015-07-15	NA	MaOl	ERI1	A	0	1	27	No remarks
2015-07-15	NA	MaOl	ERI1	B	0	1	3	No remarks
2015-07-15	NA	MaOl	ERI1	C	0	1	50	No remarks
2015-07-15	NA	MaOl	ERI1	D	0	1	12	No remarks
2015-07-15	NA	MaOl	ERI3	A	0	2	2	No remarks
2015-07-15	NA	MaOl	ERI3	B	0	2	0	No remarks
2015-07-15	NA	MaOl	ERI3	C	0	2	0	No remarks
2015-07-15	NA	MaOl	ERI3	D	0	2	0	No remarks
2015-07-16	NA	MaOl	ERI4	A	0	7	147	No remarks
2015-07-16	NA	MaOl	ERI4	B	0	7	96	No remarks
2015-07-16	NA	MaOl	ERI4	C	0	7	55	No remarks
2015-07-16	NA	MaOl	ERI4	D	0	7	95	No remarks
2015-08-14	NA	MaOl	ERI2	A	0	6	42	No remarks
2015-08-14	NA	MaOl	ERI2	B	0	6	45	No remarks
2015-08-14	NA	MaOl	ERI2	C	0	6	2	No remarks
2015-08-14	NA	MaOl	ERI2	D	0	6	7	No remarks
2016-07-14	ERI1_160712	JoNy	ERI1	A	0	-9999	37	No remarks
2016-07-14	ERI1_160712	JoNy	ERI1	B	0	-9999	44	No remarks
2016-07-14	ERI1_160712	JoNy	ERI1	C	0	-9999	55	No remarks
2016-07-14	ERI1_160712	JoNy	ERI1	D	0	-9999	79	No remarks
2016-07-14	ERI2_160712	JoNy	ERI2	A	0	-9999	19	No remarks
2016-07-14	ERI2_160712	JoNy	ERI2	B	0	-9999	25	No remarks
2016-07-14	ERI2_160712	JoNy	ERI2	C	0	-9999	11	No remarks
2016-07-14	ERI2_160712	JoNy	ERI2	D	0	-9999	5	No remarks
2016-07-14	ERI3_160712	MaOl	ERI3	A	0	1	30	No remarks
2016-07-14	ERI3_160712	MaOl	ERI3	B	0	1	0	No remarks
2016-07-14	ERI3_160712	MaOl	ERI3	C	0	1	18	No remarks
2016-07-14	ERI3_160712	MaOl	ERI3	D	0	1	16	No remarks
2016-07-14	ERI4_160712	MaOl	ERI4	A	0	1	97	No remarks
2016-07-14	ERI4_160712	MaOl	ERI4	B	0	1	66	No remarks
2016-07-14	ERI4_160712	MaOl	ERI4	C	0	1	47	No remarks
2016-07-14	ERI4_160712	MaOl	ERI4	D	0	1	111	No remarks
2017-07-25	ERI1_170725	MaOl	ERI1	A	0	8	10	No remarks
2017-07-25	ERI1_170725	MaOl	ERI1	B	0	8	7	No remarks
2017-07-25	ERI1_170725	MaOl	ERI1	C	0	8	6	No remarks
2017-07-25	ERI1_170725	MaOl	ERI1	D	0	8	14	No remarks
2017-07-25	ERI2_170725	MaOl	ERI2	A	0	8	15	No remarks
2017-07-25	ERI2_170725	MaOl	ERI2	B	0	8	15	No remarks
2017-07-25	ERI2_170725	MaOl	ERI2	C	0	8	1	No remarks
2017-07-25	ERI2_170725	MaOl	ERI2	D	0	8	1	No remarks
2017-07-25	ERI4_170725	MaOl	ERI4	A	0	7	23	No remarks
2017-07-25	ERI4_170725	MaOl	ERI4	B	0	7	14	No remarks
2017-07-25	ERI4_170725	MaOl	ERI4	C	0	7	15	No remarks
2017-07-25	ERI4_170725	MaOl	ERI4	D	0	7	34	No remarks
2017-08-02	ERI3_170802	JoNy	ERI3	A	0	8	0	No remarks
2017-08-02	ERI3_170802	JoNy	ERI3	B	0	8	0	No remarks
2017-08-02	ERI3_170802	JoNy	ERI3	C	0	8	1	No remarks
2017-08-02	ERI3_170802	JoNy	ERI3	D	0	8	0	No remarks
2018-08-11	NA	KaRa	ERI1	A	0	4	108	No Remarks
2018-08-11	NA	KaRa	ERI1	B	0	4	90	No Remarks
2018-08-11	NA	KaRa	ERI1	C	0	4	71	No Remarks
2018-08-11	NA	KaRa	ERI1	D	0	4	153	No Remarks
2018-08-11	NA	KaRa	ERI2	A	0	4	290	No Remarks
2018-08-11	NA	KaRa	ERI2	B	0	4	347	No Remarks
2018-08-11	NA	KaRa	ERI2	C	0	4	57	No Remarks
2018-08-11	NA	KaRa	ERI2	D	0	4	48	No Remarks
2018-08-12	NA	KaRa	ERI3	A	0	4	25	No Remarks
2018-08-12	NA	KaRa	ERI3	B	0	4	2	No Remarks
2018-08-12	NA	KaRa	ERI3	C	0	4	61	No Remarks
2018-08-12	NA	KaRa	ERI3	D	0	4	13	No Remarks
2018-08-12	NA	KaRa	ERI4	A	0	4	130	No Remarks
2018-08-12	NA	KaRa	ERI4	B	0	4	111	No Remarks
2018-08-12	NA	KaRa	ERI4	C	0	4	103	No Remarks
2018-08-12	NA	KaRa	ERI4	D	0	4	185	No Remarks
2019-06-19	ERI1_190619	MaOl	ERI1	B	0	8	23	No Remarks
2019-06-19	ERI1_190619	MaOl	ERI1	D	0	8	45	No Remarks
2019-06-20	NA	IdJa/ChHa	ERI4	A	0	2	91	No Remarks
2019-06-20	NA	IdJa/ChHa	ERI4	B	0	2	108	No Remarks
2019-06-20	NA	IdJa/ChHa	ERI4	C	0	2	73	No Remarks
2019-06-20	NA	IdJa/ChHa	ERI4	D	0	2	120	No Remarks
2019-07-29	NA	MaOl	ERI1	A	0	8	36	No Remarks
2019-07-29	NA	MaOl	ERI1	C	0	8	17	No Remarks
2019-07-29	NA	MaOl	ERI3	A	0	8	22	No Remarks
2019-07-29	NA	MaOl	ERI3	B	0	8	7	No Remarks
2019-07-29	NA	MaOl	ERI3	C	0	8	41	No Remarks
2019-07-29	NA	MaOl	ERI3	D	0	8	9	No Remarks
2019-07-29	NA	MaOl	ERI2	A	0	3	84	No Remarks
2019-07-29	NA	MaOl	ERI2	B	0	3	144	No Remarks
2019-07-29	NA	MaOl	ERI2	C	0	3	113	No Remarks
2019-07-29	NA	MaOl	ERI2	D	0	3	29	No Remarks
