Date	Photo_no	Plot	Section	Snow	Cloud_cover	Buds	Male_flowers	Female_flowers	Seed_hairs	Total_Male	Total_Female	TotalCount	Remarks
2008-06-10	SAL3_080610	SAL3	C	0	8	24	0	76	0	0	100	-9999	No remarks
2008-06-10	SAL3_080610	SAL3	D	0	8	69	2	6	0	2	6	-9999	No remarks
2008-06-17	SAL2_080617	SAL2	B	0	0	54	46	0	0	100	0	-9999	No remarks
2008-06-17	SAL2_080617	SAL2	C	0	0	4	0	96	0	0	100	-9999	No remarks
2008-06-17	SAL2_080617	SAL2	D	0	0	0	0	100	0	0	100	-9999	No remarks
2008-06-17	SAL1_080617	SAL1	A	0	0	0	0	100	0	0	100	-9999	No remarks
2008-06-17	SAL1_080617	SAL1	B	0	0	22	0	81	0	0	81	-9999	No remarks
2008-06-17	SAL1_080617	SAL1	C	0	0	0	0	100	0	0	100	-9999	No remarks
2008-06-17	SAL1_080617	SAL1	D	0	0	0	100	0	0	100	0	-9999	No remarks
2008-06-17	SAL2_080617	SAL2	A	0	0	37	69	0	0	106	0	-9999	No remarks
2008-06-17	SAL3_080617	SAL3	B	0	0	0	2	98	0	2	98	-9999	No remarks
2008-06-17	SAL3_080617	SAL3	C	0	0	2	0	98	0	0	100	-9999	No remarks
2008-06-17	SAL3_080617	SAL3	D	0	0	1	56	30	0	56	30	-9999	No remarks
2008-06-17	SAL3_080617	SAL3	A	0	0	0	12	88	0	12	88	-9999	No remarks
2008-06-17	SAL4_080617	SAL4	B	0	0	14	86	0	0	100	0	-9999	No remarks
2008-06-17	SAL4_080617	SAL4	C	0	0	0	100	0	0	100	0	-9999	No remarks
2008-06-17	SAL4_080617	SAL4	D	0	0	0	100	0	0	100	0	-9999	No remarks
2008-06-17	SAL4_080617	SAL4	A	0	0	1	99	0	0	100	0	-9999	No remarks
2008-06-23	NA	SAL2	A	0	8	0	134	0	0	134	0	134	Total count
2008-06-23	NA	SAL2	B	0	8	0	251	0	0	251	0	251	Total count
2008-06-23	NA	SAL2	C	0	8	0	0	394	0	0	394	394	Total count
2008-06-23	NA	SAL2	D	0	8	0	0	437	0	0	437	437	Total count
2008-06-23	NA	SAL4	A	0	1	0	325	0	0	325	0	325	Total count
2008-06-23	NA	SAL4	B	0	1	0	508	0	0	508	0	508	Total count
2008-06-23	NA	SAL4	C	0	1	0	815	0	0	815	0	815	Total count
2008-06-23	NA	SAL4	D	0	1	1	594	0	0	595	0	595	Total count
2008-06-23	NA	SAL1	A	0	8	3	494	327	0	494	330	824	Total count
2008-06-23	NA	SAL1	B	0	8	0	0	308	0	0	308	308	Total count
2008-06-23	NA	SAL1	C	0	8	1	0	569	0	0	570	570	Total count
2008-06-23	NA	SAL1	D	0	8	0	978	0	0	978	0	978	Total count
2008-06-23	NA	SAL3	A	0	1	0	0	109	0	0	109	109	Total count
2008-06-23	NA	SAL3	B	0	1	0	2	139	0	2	139	141	Total count
2008-06-23	NA	SAL3	C	0	1	0	13	158	0	13	158	171	Total count
2008-06-23	NA	SAL3	D	0	1	0	41	69	0	41	69	110	Total count
2008-06-24	SAL1_080624	SAL1	A	0	0	0	0	100	0	0	100	-9999	No remarks
2008-06-24	SAL2_080624	SAL2	B	0	0	0	100	0	0	100	0	-9999	No remarks
2008-06-24	SAL2_080624	SAL2	C	0	0	0	0	100	0	0	100	-9999	No remarks
2008-06-24	SAL2_080624	SAL2	D	0	0	0	0	100	0	0	100	-9999	No remarks
2008-06-24	SAL3_080624	SAL3	A	0	0	0	0	100	0	0	100	-9999	No remarks
2008-06-24	SAL1_080624	SAL1	B	0	0	0	0	100	0	0	100	-9999	No remarks
2008-06-24	SAL1_080624	SAL1	C	0	0	0	0	100	0	0	100	-9999	No remarks
2008-06-24	SAL1_080624	SAL1	D	0	0	0	100	0	0	100	0	-9999	No remarks
2008-06-24	SAL2_080624	SAL2	A	0	0	0	100	0	0	100	0	-9999	No remarks
2008-06-24	SAL3_080624	SAL3	C	0	0	0	0	100	0	0	100	-9999	No remarks
2008-06-24	SAL3_080624	SAL3	D	0	0	0	85	15	0	85	15	-9999	No remarks
2008-06-24	SAL4_080624	SAL4	A	0	0	0	100	0	0	100	0	-9999	No remarks
2008-06-24	SAL4_080624	SAL4	B	0	0	0	100	0	0	100	0	-9999	No remarks
2008-06-24	SAL3_080624	SAL3	B	0	0	0	0	100	0	0	100	-9999	No remarks
2008-06-24	SAL4_080624	SAL4	C	0	0	0	100	0	0	100	0	-9999	No remarks
2008-06-24	SAL4_080624	SAL4	D	0	0	0	100	0	0	100	0	-9999	No remarks
2008-07-01	SAL1_080701	SAL1	A	0	1	0	100	0	0	100	0	-9999	No remarks
2008-07-01	SAL1_080701	SAL1	B	0	1	0	0	100	0	0	100	-9999	No remarks
2008-07-01	SAL2_080702	SAL2	C	0	2	0	0	100	0	0	100	-9999	No remarks
2008-07-01	SAL2_080702	SAL2	D	0	2	0	0	100	0	0	100	-9999	No remarks
2008-07-01	SAL3_080702	SAL3	A	0	1	0	13	87	0	13	87	-9999	No remarks
2008-07-01	SAL3_080702	SAL3	B	0	1	0	0	100	0	0	100	-9999	No remarks
2008-07-01	SAL4_080702	SAL4	C	0	1	0	100	0	0	100	0	-9999	No remarks
2008-07-01	SAL4_080702	SAL4	D	0	1	0	100	0	0	100	0	-9999	No remarks
2008-07-01	SAL1_080701	SAL1	C	0	1	0	0	100	0	0	100	-9999	No remarks
2008-07-01	SAL1_080701	SAL1	D	0	1	0	100	0	0	100	0	-9999	No remarks
2008-07-01	SAL2_080702	SAL2	A	0	2	0	55	0	1	55	0	-9999	No remarks
2008-07-01	SAL2_080702	SAL2	B	0	2	0	100	0	0	100	0	-9999	Signs of herbivory by insects
2008-07-01	SAL3_080702	SAL3	C	0	1	0	0	100	0	0	100	-9999	No remarks
2008-07-01	SAL3_080702	SAL3	D	0	1	0	63	39	0	63	39	-9999	No remarks
2008-07-01	SAL4_080702	SAL4	A	0	1	0	100	0	0	100	0	-9999	No remarks
2008-07-01	SAL4_080702	SAL4	B	0	1	0	100	0	0	100	0	-9999	No remarks
2008-07-08	SAL1_080708	SAL1	A	0	8	0	100	0	0	100	0	-9999	No remarks
2008-07-08	SAL1_080708	SAL1	B	0	8	0	0	100	0	0	100	-9999	All closed
2008-07-08	SAL1_080708	SAL1	C	0	8	0	0	100	0	0	100	-9999	All closed
2008-07-08	SAL2_080708	SAL2	D	0	8	0	0	100	0	0	100	-9999	All closed
2008-07-08	SAL3_080708	SAL3	A	0	8	0	12	88	0	12	88	-9999	Males closed and dry
2008-07-08	SAL3_080708	SAL3	B	0	8	0	0	100	0	0	100	-9999	No remarks
2008-07-08	SAL3_080708	SAL3	C	0	8	0	0	100	0	0	100	-9999	No remarks
2008-07-08	SAL4_080708	SAL4	D	0	8	0	100	0	0	100	0	-9999	Senescent males
2008-07-08	SAL1_080708	SAL1	D	0	8	0	100	0	0	100	0	-9999	All dry
2008-07-08	SAL2_080708	SAL2	A	0	8	0	93	0	0	93	0	-9999	No remarks
2008-07-08	SAL2_080708	SAL2	B	0	8	0	100	0	0	100	0	-9999	No remarks
2008-07-08	SAL2_080708	SAL2	C	0	8	0	0	100	0	0	100	-9999	All closed
2008-07-08	SAL3_080708	SAL3	D	0	8	0	65	35	0	65	35	-9999	No remarks
2008-07-08	SAL4_080708	SAL4	A	0	8	0	100	0	0	100	0	-9999	Senescent males
2008-07-08	SAL4_080708	SAL4	B	0	8	0	100	0	0	100	0	-9999	Senescent males
2008-07-08	SAL4_080708	SAL4	C	0	8	0	100	0	0	100	0	-9999	Senescent males
2008-07-15	SAL1_080715	SAL1	A	0	1	0	100	0	0	100	0	-9999	Senescent males
2008-07-15	SAL1_080715	SAL1	B	0	1	0	0	100	0	0	100	-9999	All closed
2008-07-15	SAL1_080715	SAL1	C	0	1	0	0	100	0	0	100	-9999	All closed
2008-07-15	SAL2_080715	SAL2	D	0	0	0	0	100	0	0	100	-9999	All closed
2008-07-15	SAL3_080715	SAL3	A	0	0	0	0	100	0	0	100	-9999	All closed
2008-07-15	SAL3_080715	SAL3	B	0	0	0	0	100	0	0	100	-9999	All closed
2008-07-15	SAL3_080715	SAL3	C	0	0	0	0	100	0	0	100	-9999	All closed
2008-07-15	SAL3_080715	SAL3	D	0	0	0	35	55	0	35	55	-9999	Males senescent; females closed
2008-07-15	SAL1_080715	SAL1	D	0	1	0	100	0	0	100	0	-9999	Senescent males
2008-07-15	SAL2_080715	SAL2	A	0	0	0	17	0	0	17	0	-9999	Senescent males
2008-07-15	SAL2_080715	SAL2	B	0	0	0	50	0	0	50	0	-9999	Senescent males
2008-07-15	SAL2_080715	SAL2	C	0	0	0	0	100	0	0	100	-9999	All closed
2008-07-15	SAL4_080715	SAL4	A	0	0	0	100	0	0	100	0	-9999	Senescent males
2008-07-15	SAL4_080715	SAL4	B	0	0	0	100	0	0	100	0	-9999	Senescent males
2008-07-15	SAL4_080715	SAL4	C	0	0	0	100	0	0	100	0	-9999	Senescent males
2008-07-15	SAL4_080715	SAL4	D	0	0	0	100	0	0	100	0	-9999	Senescent males
2008-07-22	SAL1_080722	SAL1	A	0	8	0	100	0	0	100	0	-9999	No remarks
2008-07-22	SAL1_080722	SAL1	B	0	8	0	0	100	0	0	100	-9999	No remarks
2008-07-22	SAL1_080722	SAL1	C	0	8	0	0	100	0	0	100	-9999	No remarks
2008-07-22	SAL1_080722	SAL1	D	0	8	0	100	0	0	100	0	-9999	No remarks
2008-07-22	SAL3_080722	SAL3	A	0	8	0	0	99	1	0	100	-9999	No remarks
2008-07-22	SAL3_080722	SAL3	B	0	8	0	0	97	3	0	100	-9999	No remarks
2008-07-22	SAL3_080722	SAL3	C	0	8	0	0	95	5	0	100	-9999	No remarks
2008-07-22	SAL3_080722	SAL3	D	0	8	0	19	60	0	19	60	-9999	No remarks
2008-07-22	SAL2_080722	SAL2	A	0	8	0	26	0	0	26	0	-9999	No remarks
2008-07-22	SAL2_080722	SAL2	B	0	8	0	51	0	0	51	0	-9999	No remarks
2008-07-22	SAL2_080722	SAL2	C	0	8	0	0	100	0	0	100	-9999	No remarks
2008-07-22	SAL2_080722	SAL2	D	0	8	0	0	100	0	0	100	-9999	No remarks
2008-07-22	SAL4_080722	SAL4	A	0	7	0	100	0	0	100	0	-9999	No remarks
2008-07-22	SAL4_080722	SAL4	B	0	7	0	100	0	0	100	0	-9999	No remarks
2008-07-22	SAL4_080722	SAL4	C	0	7	0	100	0	0	100	0	-9999	No remarks
2008-07-22	SAL4_080722	SAL4	D	0	7	0	100	0	0	100	0	-9999	No remarks
2008-07-29	SAL1_080729	SAL1	B	0	2	0	0	96	4	0	100	-9999	Signs of herbivory by insects
2008-07-29	SAL1_080729	SAL1	C	0	2	0	0	99	1	0	100	-9999	No remarks
2008-07-29	SAL1_080729	SAL1	D	0	2	0	100	0	0	100	0	-9999	No remarks
2008-07-29	SAL2_080729	SAL2	A	0	4	0	20	0	0	20	0	-9999	No remarks
2008-07-29	SAL3_080729	SAL3	B	0	4	0	0	96	4	0	100	-9999	No remarks
2008-07-29	SAL3_080729	SAL3	C	0	4	0	0	93	7	0	100	-9999	No remarks
2008-07-29	SAL3_080729	SAL3	D	0	4	0	39	53	0	39	53	-9999	No remarks
2008-07-29	SAL4_080729	SAL4	A	0	4	0	100	0	0	100	0	-9999	No remarks
2008-07-29	SAL1_080729	SAL1	A	0	2	0	100	0	0	100	0	-9999	No remarks
2008-07-29	SAL2_080729	SAL2	B	0	4	0	69	0	0	69	0	-9999	No remarks
2008-07-29	SAL2_080729	SAL2	C	0	4	0	0	97	3	0	100	-9999	No remarks
2008-07-29	SAL2_080729	SAL2	D	0	4	0	0	98	2	0	100	-9999	No remarks
2008-07-29	SAL3_080729	SAL3	A	0	4	0	0	90	10	0	100	-9999	No remarks
2008-07-29	SAL4_080729	SAL4	B	0	4	0	100	0	0	100	0	-9999	No remarks
2008-07-29	SAL4_080729	SAL4	C	0	4	0	100	0	0	100	0	-9999	No remarks
2008-07-29	SAL4_080729	SAL4	D	0	4	0	100	0	0	100	0	-9999	No remarks
2008-08-06	SAL1_080806	SAL1	B	0	7	0	0	95	5	0	100	-9999	No remarks
2008-08-06	SAL1_080806	SAL1	C	0	7	0	0	100	0	0	100	-9999	No remarks
2008-08-06	SAL1_080806	SAL1	D	0	7	0	100	0	0	100	0	-9999	No remarks
2008-08-06	SAL2_080806	SAL2	A	0	7	0	16	0	0	16	0	-9999	No remarks
2008-08-06	SAL3_080806	SAL3	C	0	5	0	0	87	13	0	100	-9999	No remarks
2008-08-06	SAL3_080806	SAL3	D	0	5	0	19	56	0	19	56	-9999	No remarks
2008-08-06	SAL4_080806	SAL4	A	0	5	0	100	0	0	100	0	-9999	No remarks
2008-08-06	SAL4_080806	SAL4	B	0	5	0	100	0	0	100	0	-9999	No remarks
2008-08-06	SAL1_080806	SAL1	A	0	7	0	100	0	0	100	0	-9999	No remarks
2008-08-06	SAL2_080806	SAL2	B	0	7	0	55	0	0	55	0	-9999	No remarks
2008-08-06	SAL2_080806	SAL2	C	0	7	0	0	100	0	0	100	-9999	No remarks
2008-08-06	SAL2_080806	SAL2	D	0	7	0	0	100	0	0	100	-9999	No remarks
2008-08-06	SAL3_080806	SAL3	A	0	5	0	0	95	5	0	100	-9999	No remarks
2008-08-06	SAL3_080806	SAL3	B	0	5	0	0	97	3	0	100	-9999	No remarks
2008-08-06	SAL4_080806	SAL4	C	0	5	0	100	0	0	100	0	-9999	No remarks
2008-08-06	SAL4_080806	SAL4	D	0	5	0	100	0	0	100	0	-9999	No remarks
2008-08-12	SAL1_080812	SAL1	C	0	0	0	0	95	5	0	100	-9999	No remarks
2008-08-12	SAL1_080812	SAL1	D	0	0	0	100	0	0	100	0	-9999	No remarks
2008-08-12	SAL2_080812	SAL2	A	0	0	0	24	0	0	24	0	-9999	No remarks
2008-08-12	SAL2_080812	SAL2	B	0	0	0	39	0	0	39	0	-9999	No remarks
2008-08-12	SAL3_080812	SAL3	C	0	0	0	0	87	13	0	100	-9999	No remarks
2008-08-12	SAL3_080812	SAL3	D	0	0	0	17	54	2	17	56	-9999	No remarks
2008-08-12	SAL4_080812	SAL4	A	0	0	0	100	0	0	100	0	-9999	No remarks
2008-08-12	SAL4_080812	SAL4	B	0	0	0	100	0	0	100	0	-9999	No remarks
2008-08-12	SAL1_080812	SAL1	A	0	0	0	100	0	0	100	0	-9999	No remarks
2008-08-12	SAL1_080812	SAL1	B	0	0	0	0	88	12	0	100	-9999	No remarks
2008-08-12	SAL2_080812	SAL2	C	0	0	0	0	96	4	0	100	-9999	No remarks
2008-08-12	SAL2_080812	SAL2	D	0	0	0	0	95	5	0	100	-9999	No remarks
2008-08-12	SAL3_080812	SAL3	A	0	0	0	0	96	4	0	100	-9999	No remarks
2008-08-12	SAL3_080812	SAL3	B	0	0	0	0	95	5	0	100	-9999	No remarks
2008-08-12	SAL4_080812	SAL4	C	0	0	0	100	0	0	100	0	-9999	No remarks
2008-08-12	SAL4_080812	SAL4	D	0	0	0	100	0	0	100	0	-9999	No remarks
2008-08-19	SAL1_080819	SAL1	D	0	8	0	64	0	0	64	0	-9999	Diff. to see the male flowers beacuse of the rain
2008-08-19	SAL2_080819	SAL2	A	0	8	0	6	0	0	6	0	-9999	No remarks
2008-08-19	SAL2_080819	SAL2	B	0	8	0	28	0	0	28	0	-9999	No remarks
2008-08-19	SAL2_080819	SAL2	C	0	8	0	0	97	3	0	100	-9999	No remarks
2008-08-19	SAL3_080819	SAL3	D	0	8	0	5	52	0	5	52	-9999	No remarks
2008-08-19	SAL4_080819	SAL4	A	0	8	0	100	0	0	100	0	-9999	No remarks
2008-08-19	SAL1_080819	SAL1	A	0	8	0	100	0	0	100	0	-9999	Signs of herbivory by insects
2008-08-19	SAL1_080819	SAL1	B	0	8	0	0	81	19	0	100	-9999	Signs of herbivory by insects
2008-08-19	SAL1_080819	SAL1	C	0	8	0	0	100	0	0	100	-9999	No remarks
2008-08-19	SAL2_080819	SAL2	D	0	8	0	0	86	14	0	100	-9999	No remarks
2008-08-19	SAL3_080819	SAL3	A	0	8	0	0	100	0	0	100	-9999	No remarks
2008-08-19	SAL3_080819	SAL3	B	0	8	0	0	98	2	0	100	-9999	No remarks
2008-08-19	SAL3_080819	SAL3	C	0	8	0	0	100	0	0	100	-9999	No remarks
2008-08-19	SAL4_080819	SAL4	D	0	8	0	100	0	0	100	0	-9999	No remarks
2008-08-19	SAL4_080819	SAL4	B	0	8	0	100	0	0	100	0	-9999	No remarks
2008-08-19	SAL4_080819	SAL4	C	0	8	0	100	0	0	100	0	-9999	No remarks
2008-08-26	SAL1_080826	SAL1	D	0	2	0	60	0	0	60	0	-9999	No remarks
2008-08-26	SAL2_080826	SAL2	A	0	2	0	2	0	0	2	0	-9999	No remarks
2008-08-26	SAL2_080826	SAL2	B	0	2	0	11	0	0	11	0	-9999	No remarks
2008-08-26	SAL2_080826	SAL2	C	0	2	0	0	80	20	0	100	-9999	No remarks
2008-08-26	SAL2_080826	SAL2	D	0	2	0	0	86	14	0	100	-9999	No remarks
2008-08-26	SAL4_080826	SAL4	A	0	7	0	90	0	0	90	0	-9999	No remarks
2008-08-26	SAL4_080826	SAL4	B	0	7	0	100	0	0	100	0	-9999	No remarks
2008-08-26	SAL4_080826	SAL4	C	0	7	0	100	0	0	100	0	-9999	No remarks
2008-08-26	SAL1_080826	SAL1	A	0	2	0	100	0	0	100	0	-9999	No remarks
2008-08-26	SAL1_080826	SAL1	B	0	2	0	0	44	56	0	100	-9999	No remarks
2008-08-26	SAL1_080826	SAL1	C	0	2	0	0	91	9	0	100	-9999	No remarks
2008-08-26	SAL3_080826	SAL3	A	0	5	0	0	92	8	0	100	-9999	No remarks
2008-08-26	SAL3_080826	SAL3	B	0	5	0	0	90	10	0	100	-9999	No remarks
2008-08-26	SAL3_080826	SAL3	C	0	5	0	0	76	24	0	100	-9999	No remarks
2008-08-26	SAL3_080826	SAL3	D	0	5	0	4	52	12	4	64	-9999	No remarks
2008-08-26	SAL4_080826	SAL4	D	0	7	0	100	0	0	100	0	-9999	No remarks
2008-09-03	SAL1_080903	SAL1	A	0	8	0	84	13	3	84	16	-9999	No remarks
2008-09-03	SAL1_080903	SAL1	B	0	8	0	0	20	80	0	100	-9999	No remarks
2008-09-03	SAL2_080903	SAL2	A	0	8	0	1	0	0	1	0	-9999	No remarks
2008-09-03	SAL2_080903	SAL2	B	0	8	0	7	0	0	7	0	-9999	No remarks
2008-09-03	SAL2_080903	SAL2	C	0	8	0	0	72	28	0	100	-9999	No remarks
2008-09-03	SAL2_080903	SAL2	D	0	8	0	0	64	26	0	90	-9999	No remarks
2008-09-03	SAL4_080903	SAL4	A	0	8	0	87	0	0	87	0	-9999	No remarks
2008-09-03	SAL4_080903	SAL4	B	0	8	0	100	0	0	100	0	-9999	No remarks
2008-09-03	SAL4_080903	SAL4	C	0	8	0	100	0	0	100	0	-9999	No remarks
2008-09-03	SAL4_080903	SAL4	D	0	8	0	100	0	0	100	0	-9999	No remarks
2008-09-03	SAL1_080903	SAL1	C	0	8	0	0	76	24	0	100	-9999	No remarks
2008-09-03	SAL1_080903	SAL1	D	0	8	0	35	0	0	35	0	-9999	No remarks
2008-09-03	SAL3_080903	SAL3	A	0	8	0	0	81	19	0	100	-9999	No remarks
2008-09-03	SAL3_080903	SAL3	B	0	8	0	0	90	10	0	100	-9999	No remarks
2008-09-03	SAL3_080903	SAL3	C	0	8	0	0	74	26	0	100	-9999	No remarks
2008-09-03	SAL3_080903	SAL3	D	0	8	0	5	53	13	5	66	-9999	No remarks
2008-09-09	SAL1_080909	SAL1	A	0	2	0	80	8	12	80	20	-9999	No remarks
2008-09-09	SAL1_080909	SAL1	B	0	2	0	0	19	81	0	100	-9999	No remarks
2008-09-09	SAL1_080909	SAL1	C	0	2	0	0	53	47	0	100	-9999	No remarks
2008-09-09	SAL1_080909	SAL1	D	0	2	0	36	0	0	36	0	-9999	No remarks
2008-09-09	SAL2_080909	SAL2	B	0	2	0	1	0	0	1	0	-9999	No remarks
2008-09-09	SAL2_080909	SAL2	C	0	2	0	0	20	80	0	100	-9999	No remarks
2008-09-09	SAL2_080909	SAL2	D	0	2	0	0	23	77	0	100	-9999	No remarks
2008-09-09	SAL3_080909	SAL3	A	0	2	0	0	66	34	0	100	-9999	No remarks
2008-09-09	SAL4_080909	SAL4	B	0	1	0	100	0	0	100	0	-9999	No remarks
2008-09-09	SAL4_080909	SAL4	C	0	1	0	100	0	0	100	0	-9999	No remarks
2008-09-09	SAL4_080909	SAL4	D	0	1	0	100	0	0	100	0	-9999	No remarks
2008-09-09	SAL2_080909	SAL2	A	0	2	0	0	0	0	0	0	-9999	No remarks
2008-09-09	SAL3_080909	SAL3	B	0	2	0	0	85	15	0	100	-9999	No remarks
2008-09-09	SAL3_080909	SAL3	C	0	2	0	0	60	40	0	100	-9999	No remarks
2008-09-09	SAL3_080909	SAL3	D	0	2	0	2	34	18	2	52	-9999	No remarks
2008-09-09	SAL4_080909	SAL4	A	0	1	0	80	0	0	80	0	-9999	No remarks
2008-09-16	SAL1_080916	SAL1	A	0	0	0	52	2	46	52	48	-9999	No remarks
2008-09-16	SAL2_080916	SAL2	C	0	0	0	0	8	92	0	100	-9999	No remarks
2008-09-16	SAL1_080916	SAL1	B	0	0	0	0	10	90	0	100	-9999	No remarks
2008-09-16	SAL1_080916	SAL1	C	0	0	0	0	40	60	0	100	-9999	No remarks
2008-09-16	SAL1_080916	SAL1	D	0	0	0	36	0	0	36	0	-9999	No remarks
2008-09-16	SAL2_080916	SAL2	A	0	0	0	0	0	0	0	0	-9999	No remarks
2008-09-16	SAL2_080916	SAL2	B	0	0	0	0	0	0	0	0	-9999	No remarks
2008-09-16	SAL2_080916	SAL2	D	0	0	0	0	6	94	0	100	-9999	No remarks
2008-09-16	SAL3_080916	SAL3	A	0	0	0	0	32	68	0	100	-9999	No remarks
2008-09-16	SAL3_080916	SAL3	B	0	0	0	0	24	76	0	100	-9999	No remarks
2008-09-16	SAL4_080916	SAL4	C	0	0	0	40	0	0	40	0	-9999	No remarks
2008-09-16	SAL4_080916	SAL4	D	0	0	0	100	0	0	100	0	-9999	No remarks
2008-09-16	SAL3_080916	SAL3	C	0	0	0	0	23	77	0	100	-9999	No remarks
2008-09-16	SAL3_080916	SAL3	D	0	0	0	1	21	24	1	45	-9999	No remarks
2008-09-16	SAL4_080916	SAL4	A	0	0	0	10	0	0	10	0	-9999	No remarks
2008-09-16	SAL4_080916	SAL4	B	0	0	0	5	0	0	5	0	-9999	No remarks
2008-09-24	SAL1_080924	SAL1	A	0	0	0	32	0	68	32	68	-9999	No remarks
2008-09-24	SAL1_080924	SAL1	B	0	0	0	0	0	100	0	100	-9999	No remarks
2008-09-24	SAL2_080924	SAL2	C	0	0	0	0	0	100	0	100	-9999	No remarks
2008-09-24	SAL2_080924	SAL2	D	0	0	0	0	0	100	0	100	-9999	No remarks
2008-09-24	SAL1_080924	SAL1	C	0	0	0	0	3	97	0	100	-9999	No remarks
2008-09-24	SAL1_080924	SAL1	D	0	0	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SAL2_080924	SAL2	A	0	0	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SAL2_080924	SAL2	B	0	0	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SAL3_080924	SAL3	C	0	0	0	0	9	91	0	100	-9999	No remarks
2008-09-24	SAL3_080924	SAL3	D	0	0	0	0	7	46	0	53	-9999	No remarks
2008-09-24	SAL3_080924	SAL3	A	0	0	0	0	15	85	0	100	-9999	No remarks
2008-09-24	SAL3_080924	SAL3	B	0	0	0	0	4	96	0	100	-9999	No remarks
2008-09-24	SAL4_080924	SAL4	D	0	0	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SAL4_080924	SAL4	A	0	0	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SAL4_080924	SAL4	B	0	0	0	0	0	0	0	0	-9999	No remarks
2008-09-24	SAL4_080924	SAL4	C	0	0	0	0	0	0	0	0	-9999	No remarks
2009-05-28	NA	SAL1	C	100	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Ca. 30 cm snow
2009-05-28	NA	SAL1	D	100	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Ca. 30 cm snow
2009-05-28	NA	SAL2	A	100	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Ca. 40 cm snow
2009-05-28	NA	SAL2	B	100	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Ca. 40 cm snow
2009-05-28	SAL3_090528	SAL3	C	60	8	0	0	0	0	0	0	-9999	No remarks
2009-05-28	SAL3_090528	SAL3	D	40	8	0	0	0	0	0	0	-9999	No remarks
2009-05-28	SAL4_090528	SAL4	A	60	4	0	0	0	0	0	0	-9999	No remarks
2009-05-28	SAL4_090528	SAL4	B	70	4	0	0	0	0	0	0	-9999	No remarks
